报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,18.817,7.518,-5.658,3.905,14.768,4.055
投资活动之现金流入净额,-12.769,-4.146,-5.848,-0.981,-3.772,-3.357
融资活动之现金流入净额,46.697,43.719,3.95,-4.47,0.561,-0.537
现金及现金等价物增加,52.745,47.091,-7.556,-1.546,11.557,0.161
会计年初之现金及现金等价物,5.521,5.521,13.077,13.077,1.52,1.359
会计年终之现金及现金等价物,58.266,52.612,5.521,11.531,13.077,1.52
外汇兑换率变动之影响,--,--,--,--,--,--
购置固定资产款项,-10.118,-0.761,-0.83,-0.494,-3.795,-3.357
币种,港币,港币,港币,港币,港币,港币
