报告期,2017-12-31,2017-09-30,2017-03-31,2016-12-31,2016-09-30,2016-03-31
报表类型,三季报,中报,年报,三季报,中报,年报
营业额,173.832,113.85,217.447,166.241,109.661,165.488
除税前盈利/(亏损),4.68,0.931,20.276,12.133,7.981,10.875
税项,-2.624,-1.659,-3.003,-2.283,-1.327,-1.796
除税后盈利/(亏损),2.056,-0.728,17.273,9.85,6.654,9.079
少数股东权益,,,,,,
股东应占盈利/(亏损),2.056,-0.728,17.273,9.85,6.654,9.079
股息,,,,,,
除税及股息后盈利/(亏损),2.056,-0.728,17.273,9.85,6.654,9.079
基本每股盈利(仙),0.900000,-0.350000,,4.690000,3.170000,
摊薄每股盈利(仙),--,--,--,--,--,--
每股股息(仙),--,--,--,--,--,--
销售成本,-151.344,-98.959,-190.957,-145.909,-97.037,-145.741
折旧,-0.748,-0.495,-1.038,-0.778,-0.519,-1.036
销售及分销费用,-3.324,-2.21,-3.85,-2.798,-1.843,-3.335
一般及行政费用,-3.699,-2.456,-3.407,-2.373,-1.588,-3.05
利息费用/融资成本,-0.458,-0.287,-1.259,-1.171,-0.899,-1.853
毛利,22.488,14.891,26.49,20.332,12.624,19.747
经营盈利,4.68,0.931,20.276,12.133,7.981,10.875
应占联营公司盈利,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币
