报告期,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31
报表类型,中报,年报,中报,年报,中报,年报,中报,年报
经营业务所得之现金流入净额,-132.315,-199.583,167.546,-29.985,-348.201,-634.384,-317.399,-205.773
投资活动之现金流入净额,-100.488,-1081.231,320.833,-327.48,262.347,-754.642,79.216,-224.501
融资活动之现金流入净额,373.995,655.521,-262.199,899.23,184.246,1860.437,281.42,164.743
现金及现金等价物增加,141.192,-625.293,226.18,541.765,98.392,471.411,43.237,-265.531
会计年初之现金及现金等价物,675.285,1291.77,1291.77,747.283,747.283,275.562,275.562,543.754
会计年终之现金及现金等价物,815.042,675.285,1520.106,1291.77,845.629,747.283,318.869,275.562
外汇兑换率变动之影响,-1.435,8.808,2.156,2.722,-0.046,0.31,0.07,-2.661
购置固定资产款项,-35.222,-9.91,-1.337,-2.592,-1.567,-3.762,-3.29,-12.292
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
