报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
经营业务所得之现金流入净额,21.44,1.286,4.981
投资活动之现金流入净额,0.757,-14.046,-10.704
融资活动之现金流入净额,-8.611,16.434,8.047
现金及现金等价物增加,13.586,3.674,2.324
会计年初之现金及现金等价物,8.194,4.544,2.186
会计年终之现金及现金等价物,22.398,8.194,4.544
外汇兑换率变动之影响,0.618,-0.024,0.034
购置固定资产款项,-1.396,-12.068,-10.713
币种,港币,港币,港币
