报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,-1.505,7.336,6.155,8.963,2.616,19.584,22.896
投资活动之现金流入净额,-31.948,-0.423,0.366,4.156,0.796,-3.596,-1.561
融资活动之现金流入净额,0,73.735,86.722,-22.747,-10.867,-6.424,-16.984
现金及现金等价物增加,-33.453,80.648,93.243,-9.628,-7.455,9.564,4.351
会计年初之现金及现金等价物,112.303,31.655,31.655,41.287,41.287,31.761,27.393
会计年终之现金及现金等价物,78.85,112.303,124.898,31.655,33.828,41.287,31.761
外汇兑换率变动之影响,--,--,--,-0.004,-0.004,-0.038,0.017
购置固定资产款项,-32.202,-1.31,-0.609,-0.688,--,-3.234,-2.026
币种,港币,港币,港币,港币,港币,港币,港币
