报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,126.615,163.513,100.12,221.45,91.732,161.754,150.272
投资活动之现金流入净额,-132.403,-806.176,-43.904,-133.723,-67.313,-390.971,-126.529
融资活动之现金流入净额,-27.71,919.443,560.327,-67.586,6.679,160.853,-8.747
现金及现金等价物增加,-33.498,276.78,616.543,20.141,31.098,-68.364,14.996
会计年初之现金及现金等价物,359.685,82.925,82.925,63.005,63.005,131.492,116.778
会计年终之现金及现金等价物,326.34,359.685,699.372,82.925,94.091,63.005,131.492
外汇兑换率变动之影响,0.153,-0.02,-0.096,-0.221,-0.012,-0.123,-0.282
购置固定资产款项,-94.739,-89.268,-50.062,-134.143,-67.622,-339.612,-200.391
币种,港币,港币,港币,港币,港币,港币,港币
