报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
经营业务所得之现金流入净额,885.71,185.787,198.019,109.219
投资活动之现金流入净额,-432.835,-463.75,-646.372,-3862.083
融资活动之现金流入净额,6725.486,360.25,-64.143,4544.274
现金及现金等价物增加,7178.361,82.287,-512.496,791.41
会计年初之现金及现金等价物,404.915,331.09,830.017,39.202
会计年终之现金及现金等价物,7502.43,404.915,331.09,830.017
外汇兑换率变动之影响,-80.846,1.205,13.569,-0.595
购置固定资产款项,-17.729,-19.861,-22.464,-3.538
币种,人民币,人民币,人民币,人民币
