报告期,2017-06-30,2016-12-31,2015-12-31
报表类型,中报,年报,年报
现金及短期资金,52448.529,49370.893,43270.704
银行同业及其他金融机构之存款,3683.153,12830.492,5044.386
贸易票据,--,--,--
香港特区政府负债证明书,,,
客户贷款及其他账项,176972.789,158547.291,133876.081
持至到期证券 债务证券 股票,20638.542,17851.813,12735.476
联营公司权益,,,
合资公司权益及其他权益,--,--,--
无形资产,,,
固定资产及投资物业,4671.843,4785.468,4861.817
其他资产,81747.348,81221.632,62498.167
总资产,458010.33,433071.439,305890.694
香港特区政府纸币流通额,,,
银行及其他金融机构存款及结余,47168.013,44954.774,29385.773
客户存款,279554,245352.754,205370.354
已发行之债务证券,57527.558,57387.758,2979.045
其他负债,35956.908,49128.753,34019.221
总负债,420925.393,397572.8,272472.67
借入资本,--,--,--
股本,16625,16625,16625
储备,19652.767,18094.164,16320.056
股东权益/(亏损),36277.767,34719.164,32945.056
少数股东权益 - (借)/贷,807.17,779.475,472.968
资本来源合计,37084.937,35498.639,33418.024
负债及资本来源合计,458010.33,433071.439,305890.694
股份数目 (千),--,--,--
持有的存款证,--,--,--
持作买卖用途的证券,,,
已发行的存款证,--,--,--
币种,人民币,人民币,人民币
