报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
经营业务所得之现金流入净额,46.122,8.182,133.379,95.51,139.535,61.495,107.43,12.91
投资活动之现金流入净额,-50.743,-24.364,-32.983,-12.985,-17.517,-6.903,2.128,3.839
融资活动之现金流入净额,-9.555,-8.575,-72.867,-71.047,-137.052,-50.763,-89.39,15.387
现金及现金等价物增加,-14.176,-24.757,27.529,11.478,-15.034,3.829,20.168,32.136
会计年初之现金及现金等价物,123.362,123.362,93.782,93.782,108.163,108.163,87.867,87.867
会计年终之现金及现金等价物,108.446,99.104,123.362,105.629,93.782,112.224,108.163,120.129
外汇兑换率变动之影响,-0.74,0.499,2.051,0.369,0.653,0.232,0.128,0.126
购置固定资产款项,-57.732,-25.28,-39.135,-14.218,-34.495,-18.001,-26.327,-13.623
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
