报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,年报,年报
经营业务所得之现金流入净额,2.073,12.057,19.158,28.386,19.893,15.177
投资活动之现金流入净额,-0.06,1.354,1.424,2.827,-12.166,-7.56
融资活动之现金流入净额,-13.215,59.329,-26.096,-16.201,-15.566,-11.433
现金及现金等价物增加,-11.202,72.74,-5.514,15.012,-7.839,-3.816
会计年初之现金及现金等价物,100.856,27.628,27.628,12.818,20.645,24.422
会计年终之现金及现金等价物,89.803,100.856,22.157,27.628,12.818,20.645
外汇兑换率变动之影响,0.149,0.488,0.043,-0.202,0.012,0.039
购置固定资产款项,-0.068,-3.243,-3.173,-4.352,-5.046,-4.513
币种,港币,港币,港币,港币,港币,港币
