报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,-18.234,-19.232,-39.369,-11.401,6.8,5.668
投资活动之现金流入净额,-28.723,-22.177,12.34,13.722,14.448,-17.339
融资活动之现金流入净额,26.251,15.752,49.158,-2.635,-19.345,11.66
现金及现金等价物增加,-20.706,-25.657,22.129,-0.314,1.903,-0.011
会计年初之现金及现金等价物,27.685,27.685,5.556,5.556,3.653,3.664
会计年终之现金及现金等价物,6.979,2.028,27.685,5.242,5.556,3.653
外汇兑换率变动之影响,--,--,--,--,--,--
购置固定资产款项,-1.746,-0.405,-3.5,-2.343,-1.98,-0.716
币种,港币,港币,港币,港币,港币,港币
