报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31
报表类型,中报,年报,中报,年报
经营业务所得之现金流入净额,-10.621,3.587,8.467,-0.139
投资活动之现金流入净额,-0.045,-0.558,-0.495,-0.833
融资活动之现金流入净额,0.822,1.427,3.558,1.166
现金及现金等价物增加,-9.844,4.456,11.53,0.194
会计年初之现金及现金等价物,34.016,29.56,29.56,29.366
会计年终之现金及现金等价物,24.172,34.016,41.09,29.56
外汇兑换率变动之影响,--,--,--,--
购置固定资产款项,-0.045,-0.558,-0.495,-0.833
币种,港币,港币,港币,港币
