报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,年报,年报
经营业务所得之现金流入净额,-1.209564,7.60125,0.976391,8.859578,2.255624,3.869063
投资活动之现金流入净额,-9.506897,6.029134,-1.711891,-2.298251,-0.225288,3.743982
融资活动之现金流入净额,4.235351,15.113173,-5.709725,-1.364355,-0.357923,-2.832618
现金及现金等价物增加,-6.48111,28.743557,-6.445225,5.196972,1.672413,4.780427
会计年初之现金及现金等价物,43.418665,14.675108,14.675108,9.478136,7.805723,3.025296
会计年终之现金及现金等价物,36.062625,43.418665,8.229883,14.675108,9.478136,7.805723
外汇兑换率变动之影响,-0.87493,--,--,--,--,--
购置固定资产款项,-0.539021,-1.328055,-0.438612,-2.092454,-0.251885,-0.306018
币种,新加坡元,新加坡元,新加坡元,新加坡元,新加坡元,新加坡元
