报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,-294.410579,-39.569847,-91.62328,164.271475,-157.918857,-306.281843
投资活动之现金流入净额,0.84093,0.868221,45.752471,41.792788,-15.531425,-22.355523
融资活动之现金流入净额,287.65821,64.737593,67.95663,-214.173874,187.18946,238.516188
现金及现金等价物增加,-5.911439,26.035967,22.085821,-8.109611,13.739178,-90.121178
会计年初之现金及现金等价物,40.918934,40.918934,18.833113,18.833113,5.093935,95.215113
会计年终之现金及现金等价物,35.007495,66.954901,40.918934,10.723502,18.833113,5.093935
外汇兑换率变动之影响,--,--,--,--,--,--
购置固定资产款项,-0.063227,-0.026517,-0.042782,--,-0.129041,-0.447491
币种,人民币,人民币,人民币,人民币,人民币,人民币
