报告期,2006-06-30,2005-06-30,2004-06-30,2003-06-30,2002-06-30,2001-06-30,2000-06-30
报表类型,年报,年报,年报,年报,年报,年报,年报
营业额,44282,39788,36835,32187,28365,25296,22956
除税前盈利/(亏损),18262,16628,12196,14726,11513,11525,14275
税项,-5663,-4374,-4028,-4733,-3684,-3804,-4854
除税后盈利/(亏损),12599,12254,8168,9993,7829,7721,9421
少数股东权益,,,,,,,
股东应占盈利/(亏损),12599,12254,8168,9993,7829,7346,9421
股息,0,0,0,0,0,0,0
除税及股息后盈利/(亏损),12599,12254,8168,9993,7829,7346,9421
基本每股盈利(仙),121.000000,113.000000,76.000000,93.000000,72.000000,138.000000,181.000000
摊薄每股盈利(仙),120.000000,112.000000,75.000000,92.000000,70.000000,132.000000,170.000000
每股股息(仙),35.000000,340.000000,16.000000,--,--,--,--
销售成本,-7650,-6031,-6596,-5686,-5191,-3455,-3002
折旧,-903,-855,-1186,-1439,-1084,-1536,-1250
销售及分销费用,-9818,-8563,-8195,-6521,-5407,-4885,-4126
一般及行政费用,-3758,-4536,-5275,-2104,-1550,-857,-1050
利息费用/融资成本,--,--,--,--,--,--,--
毛利,36632,33757,30239,26501,23174,21841,19954
经营盈利,16472,14561,9034,13217,11910,11720,11006
应占联营公司盈利,--,--,--,--,--,--,--
币种,美元,美元,美元,美元,美元,美元,美元
