报告期,2017-12-31,2017-09-30,2017-03-31,2016-12-31,2016-09-30,2016-03-31
报表类型,三季报,中报,年报,三季报,中报,年报
营业额,146.687,101.476,171.116,110.026,75.856,163.821
除税前盈利/(亏损),-4.147,-2.868,16.065,3.936,4.172,26.561
税项,-1.82,-1.942,-2.738,-0.471,-0.647,-4.408
除税后盈利/(亏损),-5.967,-4.81,13.327,3.465,3.525,22.153
少数股东权益,,,,,,
股东应占盈利/(亏损),-5.967,-4.81,13.327,3.465,3.525,22.153
股息,,,,,,
除税及股息后盈利/(亏损),-5.967,-4.81,13.327,3.465,3.525,22.153
基本每股盈利(仙),-1.490000,-1.600000,,1.160000,1.180000,
摊薄每股盈利(仙),--,--,--,--,--,--
每股股息(仙),--,--,--,--,--,--
销售成本,-106.052,-70.541,-115.63,-80.979,-54.658,-99.861
折旧,--,-0.403,-1.093,--,-0.481,-1.406
销售及分销费用,--,--,--,--,--,--
一般及行政费用,-29.811,-19.371,-39.179,-25.192,-17.115,-37.825
利息费用/融资成本,--,--,--,--,--,--
毛利,40.635,30.935,55.486,29.047,21.198,63.96
经营盈利,-4.147,-2.868,16.065,3.936,4.172,26.561
应占联营公司盈利,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币
