报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,年报,年报
经营业务所得之现金流入净额,-28.121,23.897,22.229,-15.853,-24.703,46.159
投资活动之现金流入净额,-59.871,-5.686,-1.996,-0.592,-1.512,-2.439
融资活动之现金流入净额,9.161,77.464,-8.334,20.078,5.676,-6.135
现金及现金等价物增加,-78.831,95.675,11.899,3.633,-20.539,37.585
会计年初之现金及现金等价物,116.718,21.043,21.043,17.41,37.949,0.364
会计年终之现金及现金等价物,37.887,116.718,32.942,21.043,17.41,37.949
外汇兑换率变动之影响,--,--,--,--,--,--
购置固定资产款项,-58.683,-2.336,-1.932,-0.624,-1.662,-2.439
币种,港币,港币,港币,港币,港币,港币
