报告期,2017-11-30,2017-05-31,2016-11-30,2016-05-31,2015-05-31
报表类型,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,27.665,29.240199,11.507,13.078418,9.870979
投资活动之现金流入净额,-27.006,-22.897117,-20.278,-10.557781,-15.644789
融资活动之现金流入净额,29.705,8.087177,21.45,-0.89293,6.321032
现金及现金等价物增加,30.364,14.430259,12.679,1.627707,0.547222
会计年初之现金及现金等价物,17.008,2.585355,2.585,1.006774,0.459552
会计年终之现金及现金等价物,47.38,17.008419,15.253,2.585355,1.006774
外汇兑换率变动之影响,0.008,-0.007195,-0.011,-0.049126,--
购置固定资产款项,-21.473,-28.543689,--,-12.205641,-10.299686
币种,港币,港币,港币,港币,港币
