报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
经营业务所得之现金流入净额,24.256,3.972,18.521
投资活动之现金流入净额,-0.051,-1.994,-0.683
融资活动之现金流入净额,6.695,11.165,1.37
现金及现金等价物增加,30.9,13.143,19.208
会计年初之现金及现金等价物,43.48,30.337,11.129
会计年终之现金及现金等价物,74.38,43.48,30.337
外汇兑换率变动之影响,--,--,--
购置固定资产款项,-0.231,-2.095,-0.772
币种,人民币,人民币,人民币
