报告期,2017-12-31,2016-12-31
报表类型,年报,年报
经营业务所得之现金流入净额,2.955835,1.900968
投资活动之现金流入净额,-0.576902,-0.349814
融资活动之现金流入净额,-2.449405,-0.574568
现金及现金等价物增加,-0.070472,0.976586
会计年初之现金及现金等价物,2.064243,1.087657
会计年终之现金及现金等价物,1.993771,2.064243
外汇兑换率变动之影响,--,--
购置固定资产款项,-0.576902,-0.352219
币种,新加坡元,新加坡元
