报告期,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,中报,年报,中报,年报,年报,年报
经营业务所得之现金流入净额,40.329,70.68,35.686,45.535,31.201,19.277
投资活动之现金流入净额,-24.166,-33.323,-19.064,33.794,0.195,-2.977
融资活动之现金流入净额,0.341,51.162,-21.715,-63.665,-3.023,0.283
现金及现金等价物增加,16.504,88.519,-5.093,15.664,28.373,16.583
会计年初之现金及现金等价物,181.853,93.334,93.334,77.67,49.297,32.714
会计年终之现金及现金等价物,196.478,181.853,88.241,93.334,77.67,49.297
外汇兑换率变动之影响,-1.879,--,--,--,--,--
购置固定资产款项,-1.582,-14.43,-6.829,-3.336,-1.994,-2.992
币种,人民币,人民币,人民币,人民币,人民币,人民币
