报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
经营业务所得之现金流入净额,45.473,16.775,26.162
投资活动之现金流入净额,-14.264,0.872,-0.193
融资活动之现金流入净额,-48.261,11.092,-24.573
现金及现金等价物增加,-17.052,28.739,1.396
会计年初之现金及现金等价物,51.367,22.567,21.142
会计年终之现金及现金等价物,32.152,51.367,22.567
外汇兑换率变动之影响,-2.163,0.061,0.029
购置固定资产款项,-13.181,-4.962,-8.967
币种,人民币,人民币,人民币
