报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31,2014-09-30,2014-03-31
报表类型,中报,年报,中报,年报,中报,年报,中报,年报
营业额,351.455944,299.259373,120.811696,146.491215,30.412985,56.403923,27.934335,59.965275
除税前盈利/(亏损),7.454164,-188.571659,-2.81508,-41.42699,-21.612918,-117.980616,-24.66776,-26.200597
税项,-2.02838,-2.661092,-1.815199,-0.939944,-0.530817,,,-0.054545
除税后盈利/(亏损),5.425784,-199.08492,-4.630279,-42.366934,-22.143735,-117.980616,-24.66776,-26.255142
少数股东权益,-0.005088,-1.202729,-0.051539,-8.829327,-2.674774,-35.688888,-4.267274,-2.80127
股东应占盈利/(亏损),5.430872,-197.882191,-4.57874,-33.537607,-19.468961,-82.291728,-20.400486,-23.453872
股息,,,,,,,,
除税及股息后盈利/(亏损),5.430872,-197.882191,-4.57874,-33.537607,-19.468961,-82.291728,-20.400486,-23.453872
基本每股盈利(仙),0.120000,-6.040000,-0.180000,-1.580000,-0.980000,-4.630000,-1.230000,-1.620000
摊薄每股盈利(仙),0.120000,-6.040000,-0.180000,-1.580000,-0.980000,-4.630000,-1.230000,-1.620000
每股股息(仙),--,--,--,--,--,--,--,--
销售成本,-325.694805,-271.265726,-100.054468,-120.241995,-21.592054,-42.921342,-21.415841,-45.220897
折旧,-0.707932,-1.060654,-1.712474,-4.131267,-1.670768,-4.187145,-1.382407,-3.582484
销售及分销费用,-0.50379,--,-0.932298,-1.758722,-0.913187,-1.626174,-1.286179,-1.151234
一般及行政费用,-15.516097,-24.870504,-20.48825,-44.223963,-22.38149,-45.241581,-22.649656,-40.700922
利息费用/融资成本,-2.325006,-4.654889,-2.333149,-6.027873,-2.990578,-4.965781,-2.074106,-0.384778
毛利,25.761139,27.993647,20.757228,26.24922,8.820931,13.482581,6.518494,14.744378
经营盈利,7.454164,-188.571659,-2.81508,-41.42699,-21.612918,-117.980616,-24.66776,-26.200597
应占联营公司盈利,--,--,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币,港币,港币
