报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31
报表类型,中报,年报,中报,年报,中报,年报,中报
经营业务所得之现金流入净额,11.02,33.83,12.299,28.894,9.714,17.723,1.566
投资活动之现金流入净额,33.26,-36.402,0.084,-0.082,0.062,-1.68,-1.591
融资活动之现金流入净额,-20,-15,0,-15.064,-5.064,31.842,40.907
现金及现金等价物增加,24.28,-17.572,12.383,13.748,4.712,47.885,40.882
会计年初之现金及现金等价物,63.118,80.69,80.69,66.942,66.942,19.057,19.057
会计年终之现金及现金等价物,87.398,63.118,93.073,80.69,71.654,66.942,59.939
外汇兑换率变动之影响,--,--,--,--,--,--,--
购置固定资产款项,-0.05,-0.402,-0.01,-0.248,-0.049,-1.884,-1.793
币种,港币,港币,港币,港币,港币,港币,港币
