报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,-568.047,-1440.178,-1691.578,-1726.838,-994.102,843.752
投资活动之现金流入净额,-759.601,-157.038,-1914.642,-581.526,396.201,-58.18
融资活动之现金流入净额,3569.519,2413.08,2983.716,1917.249,677.96,367.763
现金及现金等价物增加,2241.871,815.864,-622.504,-391.115,80.059,1153.335
会计年初之现金及现金等价物,1535.514,1535.514,2158.018,2158.018,2077.959,924.624
会计年终之现金及现金等价物,3777.385,2351.378,1535.514,1766.903,2158.018,2077.959
外汇兑换率变动之影响,--,--,--,--,--,--
购置固定资产款项,-90.646,-321.381,-619.588,-443.256,-38.492,-74.377
币种,人民币,人民币,人民币,人民币,人民币,人民币
