报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30
报表类型,年报,中报,年报,中报,年报,中报
经营业务所得之现金流入净额,50.65,18.024,-20.645,-42.143,-77.168,-40.328
投资活动之现金流入净额,-0.104,0.001,0.005,0.003,0.007,0.029
融资活动之现金流入净额,-4.505,3.464,42.804,46.807,61.899,27.132
现金及现金等价物增加,46.041,21.489,22.164,4.667,-15.262,-13.167
会计年初之现金及现金等价物,47.414,47.414,25.25,25.25,40.512,40.512
会计年终之现金及现金等价物,93.455,68.903,47.414,29.917,25.25,27.345
外汇兑换率变动之影响,--,--,--,--,--,--
购置固定资产款项,-0.106,--,--,--,-0.066,-0.023
币种,港币,港币,港币,港币,港币,港币
