报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,年报,中报,年报,中报,年报,年报,年报
经营业务所得之现金流入净额,261.294,-140.66,296.122,-119.755,313.124,254.624,222.878
投资活动之现金流入净额,-305.247,-311.287,274.34,245.737,251.931,-303.149,-93.507
融资活动之现金流入净额,1047.842,1085.632,-52.918,-50.417,-619.495,0,0
现金及现金等价物增加,1003.889,633.685,517.544,75.565,-54.44,-48.525,129.371
会计年初之现金及现金等价物,964.922,964.922,473.448,473.448,499.921,547.487,426.008
会计年终之现金及现金等价物,1939.648,1594.377,964.922,541.3,473.448,499.921,547.487
外汇兑换率变动之影响,-29.163,-4.23,-26.07,-7.713,27.967,0.959,-7.892
购置固定资产款项,-43.634,-22.959,-53.538,-32.483,-58.417,-57.023,-74.365
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
