报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31,2014-09-30,2014-03-31
报表类型,中报,年报,中报,年报,中报,年报,中报,年报
经营业务所得之现金流入净额,12.987834,-23.314139,-19.401963,-6.027607,12.402461,-1.189204,7.679889,1.130452
投资活动之现金流入净额,-5.22515,-24.419742,-2.414275,76.4664,68.229512,-16.123313,-16.56315,-4.213098
融资活动之现金流入净额,-2.452555,-1.973738,-0.633521,-1.797708,0.40583,-3.096576,-1.029485,15.667612
现金及现金等价物增加,5.310129,-49.707619,-22.449759,68.641085,81.037803,-20.409093,-9.912746,12.584966
会计年初之现金及现金等价物,18.548469,68.269628,68.269628,-0.276629,-0.276629,20.15572,20.15572,7.568603
会计年终之现金及现金等价物,25.271572,18.548469,46.350985,68.269628,80.2792,-0.276629,10.214652,20.15572
外汇兑换率变动之影响,1.412974,-0.01354,0.531116,-0.094828,-0.481974,-0.023256,-0.028322,0.002151
购置固定资产款项,--,-2.043976,--,-1.903341,--,-16.719582,--,-4.218265
币种,港币,港币,港币,港币,港币,港币,港币,港币
