报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-09-30,2015-03-31,2014-09-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
经营业务所得之现金流入净额,-25.31,21.211,-41.7,-52.312,18.535,14.569,2.231,5.234
投资活动之现金流入净额,-273.093,-58.463,-124.173,40.145,-159.063,-12.532,39.338,-3.199
融资活动之现金流入净额,200.499,157.082,136.381,-4.365,116.186,117.79,5.833,-5.758
现金及现金等价物增加,-97.904,119.83,-29.492,-16.532,-24.342,119.827,47.402,-3.723
会计年初之现金及现金等价物,225.431,163.107,193.939,193.939,219.699,219.699,172.675,211.636
会计年终之现金及现金等价物,131.077,283.801,163.107,176.302,193.939,338.343,219.699,208.241
外汇兑换率变动之影响,3.55,0.864,-1.34,-1.105,-1.418,-1.183,-0.378,0.328
购置固定资产款项,-7.207,-2.038,-7.284,-4.381,-16.32,-9.715,-9.331,-5.433
币种,港币,港币,港币,港币,港币,港币,港币,港币
