报告期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30
报表类型,一季报,年报,三季报,中报,一季报,年报,三季报,中报
营业额,24737.565,102650.614,73932.895,43817.02,21046.138,100207.703,72797.79,43745.486
除税前盈利/(亏损),305.561,5620.641,4195.639,2650.01,1021.631,6568.41,4850.3,3009.075
税项,-41.42,-703.705,-733.761,-484.847,-240.265,-1088.398,-878.649,-540.008
除税后盈利/(亏损),264.141,4916.936,3461.878,2165.163,781.366,5480.012,3971.651,2469.067
少数股东权益,161.716,850.458,670.443,442.249,175.571,427.858,307.525,209.371
股东应占盈利/(亏损),102.425,4066.478,2791.435,1722.914,605.795,5052.154,3664.126,2259.696
股息,,384.668,,,,1486.837,,1001.228
除税及股息后盈利/(亏损),102.425,3681.81,2791.435,1722.914,605.795,3565.317,3664.126,1258.468
基本每股盈利(仙),2.000000,140.000000,96.000000,59.000000,20.000000,188.000000,138.350000,87.000000
摊薄每股盈利(仙),2.000000,140.000000,96.000000,59.000000,20.000000,188.000000,--,87.000000
每股股息(仙),--,14.100000,--,--,--,54.500000,--,36.700000
销售成本,-20496.606,-84715.54,-59251.044,-35648.009,-16625.725,-81189.44,-57454.15,-35222.516
折旧,--,-5759.409,--,-2563.13,--,-5308.825,--,-2524.787
销售及分销费用,-1172.277,-4925.288,-3537.758,-2248.952,-1058.996,-4196.339,-2863.831,-1804.047
一般及行政费用,-1883.398,-3047.734,-5066.885,-1739.524,-1556.914,-3690.339,-5440.908,-1870.659
利息费用/融资成本,-813.445,-2342.77,-1627.732,-1062.991,-379.79,-1799.609,-990.438,-900.723
毛利,4240.959,17935.074,14681.851,8169.011,4420.413,19018.263,14414.94,8522.97
经营盈利,249.126,5620.641,4105.07,2650.01,833.815,6568.41,4442.837,3009.075
应占联营公司盈利,-3.369,46.437,-139.452,6.894,-3.076,19.704,-154.74,8.575
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
