报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,-23.952,8.249,-13.475,10.636,-5.566,19.415,-0.812
投资活动之现金流入净额,2.179,1.833,2.005,0.135,0.293,9.055,0.794
融资活动之现金流入净额,0,42.657,42.934,-47.455,-13.973,-0.45,-5.349
现金及现金等价物增加,-21.773,52.739,31.464,-36.684,-19.246,28.02,-5.367
会计年初之现金及现金等价物,103.28,50.541,50.541,87.225,87.225,59.205,64.572
会计年终之现金及现金等价物,81.507,103.28,82.005,50.541,67.979,87.225,59.205
外汇兑换率变动之影响,--,--,--,--,--,--,--
购置固定资产款项,--,-0.603,--,-0.402,--,-0.233,-0.44
币种,港币,港币,港币,港币,港币,港币,港币
