报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
经营业务所得之现金流入净额,1.637,21.193,18.294
投资活动之现金流入净额,-12.04,106.298,18.334
融资活动之现金流入净额,35.032,-81.756,-28.921
现金及现金等价物增加,24.629,45.735,7.707
会计年初之现金及现金等价物,57.091,11.356,3.649
会计年终之现金及现金等价物,81.72,57.091,11.356
外汇兑换率变动之影响,--,--,--
购置固定资产款项,-0.595,-0.101,-0.404
币种,人民币,人民币,人民币
