报告期,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31
报表类型,中报,年报,年报,年报,年报
现金及短期资金,26314.742,32983.711,19333.596,15605.855,11269.672
银行同业及其他金融机构之存款,25177.449,37733.808,18640.153,11972.805,3309.327
贸易票据,--,--,--,--,--
香港特区政府负债证明书,,,,,
客户贷款及其他账项,72020.389,60286.35,46477.43,33417.037,21253.293
持至到期证券 债务证券 股票,7731.82,2184.607,1376.071,774.574,588.088
联营公司权益,244.301,231.971,121.979,25,
合资公司权益及其他权益,--,--,--,--,--
无形资产,,,,,
固定资产及投资物业,4282.083,3289.595,2348.776,1722.256,1144.844
其他资产,23714.508,27502.147,31137.726,14670.434,14564.156
总资产,195661.367,191471.297,141953.334,81855.342,55170.451
香港特区政府纸币流通额,,,,,
银行及其他金融机构存款及结余,7380.609,7245.735,1868.321,4820.055,4581.5
客户存款,130503.115,127408.661,93302.782,59771.652,36739.267
已发行之债务证券,27626.708,23395.879,9074.179,2389.375,697.3
其他负债,14158.127,19514.566,25583.254,6904.261,8308.475
总负债,179797.045,177748.151,130096.135,74021.016,50490.695
借入资本,--,--,--,--,--
股本,3984.797,3294.797,3294.797,2406.069,1950.062
储备,8058.688,6835.708,5853.501,3330.277,2142.44
股东权益/(亏损),12043.485,10130.505,9148.298,5736.346,4092.502
少数股东权益 - (借)/贷,3820.837,3592.641,2708.901,2097.98,587.254
资本来源合计,15864.322,13723.146,11857.199,7834.326,4679.756
负债及资本来源合计,195661.367,191471.297,141953.334,81855.342,55170.451
股份数目 (千),759000000,759000000,--,--,--
持有的存款证,--,--,--,--,--
持作买卖用途的证券,,,,,
已发行的存款证,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币
