报告期,2017-03-31,2016-03-31
报表类型,年报,年报
经营业务所得之现金流入净额,9.939,9.453
投资活动之现金流入净额,0.001,-0.03
融资活动之现金流入净额,-6.398,-8.581
现金及现金等价物增加,3.542,0.842
会计年初之现金及现金等价物,3.924,3.126
会计年终之现金及现金等价物,7.397,3.924
外汇兑换率变动之影响,-0.069,-0.044
购置固定资产款项,--,-0.041
币种,港币,港币
