报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,2.486,-0.367,5.356,29.466,17.663,27.27,21.464
投资活动之现金流入净额,-6.198,-10.801,-2.704,-7.327,-1.645,-9.888,-15.59
融资活动之现金流入净额,0,86.865,-6.764,-22.604,-11.183,-12.355,-3.658
现金及现金等价物增加,-3.712,75.697,-4.112,-0.465,4.835,5.027,2.216
会计年初之现金及现金等价物,108.359,32.662,32.662,33.127,33.127,28.1,25.884
会计年终之现金及现金等价物,104.647,108.359,28.55,32.662,37.962,33.127,28.1
外汇兑换率变动之影响,--,--,--,--,--,--,--
购置固定资产款项,-7.196,-11.7,-3.299,-8.903,-1.767,-6.982,-12.622
币种,港币,港币,港币,港币,港币,港币,港币
