报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,年报,中报,年报,中报,年报,年报,年报
经营业务所得之现金流入净额,116.274,-1.303,-65.873,-175.961,149.992,27.764,22.744
投资活动之现金流入净额,-2.422,-1.801,0.775,0.436,0.26,-0.299,-1.448
融资活动之现金流入净额,-48.022,-71.206,230.501,10.257,78.526,0,0
现金及现金等价物增加,65.83,-74.31,165.403,-165.268,228.778,27.465,21.296
会计年初之现金及现金等价物,463.08,463.08,292.837,292.837,64.059,36.594,15.298
会计年终之现金及现金等价物,527.265,388.123,463.08,127.569,292.837,64.059,36.594
外汇兑换率变动之影响,-1.645,-0.647,4.84,--,--,--,--
购置固定资产款项,-3.788,-2.593,--,--,-0.033,-0.445,-1.511
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
