报告期,2002-12-31
报表类型,年报
非流动资产,
流动资产,
流动负债,
净流动资产/(负债),
非流动负债,--
少数股东权益 - (借)/贷,5.238
净资产/(负债),
已发行股本,1058.021
储备,2070.539
股东权益/(亏损),
无形资产(非流动资产),--
物业、厂房及设备(非流动资产),
附属公司权益(非流动资产),--
联营公司权益 (非流动资产),61.257
其他投资(非流动资产),
应收账款(流动资产),
存货(流动资产),--
现金及银行结存(流动资产),
应付帐款(流动负债),
银行贷款(流动负债),--
非流动银行贷款,--
总资产,14732.142
总负债,11598.344
股份数目(香港),--
币种,港币
