报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
经营业务所得之现金流入净额,0.237,8.008,15.764,5.685
投资活动之现金流入净额,-3.587,-0.307,-0.397,-0.464
融资活动之现金流入净额,25.666,-17.021,-6.001,-4.994
现金及现金等价物增加,22.316,-9.32,9.366,0.227
会计年初之现金及现金等价物,8.761,18.081,8.715,8.488
会计年终之现金及现金等价物,30.704,8.761,18.081,8.715
外汇兑换率变动之影响,-0.373,--,--,--
购置固定资产款项,-3.647,-0.461,-0.434,-0.371
币种,新加坡元,新加坡元,新加坡元,新加坡元
