报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,185.388,67.55,34.505,-38.795,-21.502,17.675
投资活动之现金流入净额,-3.515,-0.684,11.896,-2.87,-7.348,8.902
融资活动之现金流入净额,36.051,-33.856,-38.727,6.717,49.012,-46.18
现金及现金等价物增加,217.924,33.01,7.674,-34.948,20.162,-19.603
会计年初之现金及现金等价物,58.574,58.574,50.711,50.711,31.511,50.795
会计年终之现金及现金等价物,279.551,92.415,58.574,16.159,50.711,31.511
外汇兑换率变动之影响,3.053,0.831,0.189,0.396,-0.962,0.319
购置固定资产款项,-4.142,-0.773,-5.25,-1.002,-42.034,-12.515
币种,港币,港币,港币,港币,港币,港币
