报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,年报,中报,年报,中报,年报,年报,年报
营业额,477.78,254.627,444.997,242.777,426.317,402.515,384.085
除税前盈利/(亏损),262.962,161.864,251.358,150.436,246.679,222.266,204.029
税项,-2.115,-0.801,-1.609,-0.897,-33.222,-25.939,-18.082
除税后盈利/(亏损),260.847,161.063,249.749,149.539,213.457,196.327,185.947
少数股东权益,0.9,,6.318,7.093,10.25,9.541,9.226
股东应占盈利/(亏损),259.947,161.063,243.431,142.446,203.207,186.786,176.721
股息,,,,,,,
除税及股息后盈利/(亏损),259.947,161.063,243.431,142.446,203.207,186.786,176.721
基本每股盈利(仙),6.860000,4.520000,9.000000,4.620000,5.000000,4.000000,4.000000
摊薄每股盈利(仙),6.860000,4.520000,9.000000,4.620000,5.000000,4.000000,4.000000
每股股息(仙),--,--,--,--,--,--,--
销售成本,-199.092,-88.524,-186.391,-88.522,-164.653,-146.811,-142.886
折旧,-47.344,-23.302,-38.861,-19.786,-39.051,-41.21,-38.113
销售及分销费用,-7.783,-2.773,-11.693,-2.791,-8.297,-8.891,-6.713
一般及行政费用,-125.701,-57.793,-86.301,-31.085,-61.678,-60.175,-59.73
利息费用/融资成本,-3.043,-0.631,-2.595,-1.275,-0.305,--,--
毛利,278.688,166.103,258.606,154.255,261.664,255.704,241.199
经营盈利,262.962,161.864,251.358,150.436,246.679,222.266,204.029
应占联营公司盈利,-0.269,-0.062,-0.667,-0.385,-0.928,-0.48,--
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
