报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,9.711,24.35,1.572,21.038,14.915,50.412,72.571
投资活动之现金流入净额,-19.556,-61.621,-25.554,-27.019,-21.482,-37.092,-30.161
融资活动之现金流入净额,-0.227,62.84,50.204,-25.704,-23.766,13.787,-30.961
现金及现金等价物增加,-10.072,25.569,26.222,-31.685,-30.333,27.107,11.449
会计年初之现金及现金等价物,51.291,25.722,25.722,57.407,57.407,30.3,18.851
会计年终之现金及现金等价物,41.219,51.291,51.944,25.722,27.074,57.407,30.3
外汇兑换率变动之影响,--,--,--,--,--,--,--
购置固定资产款项,-18.971,-81.305,-44.014,-38.054,-13.214,-34.558,-22.873
币种,港币,港币,港币,港币,港币,港币,港币
