报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-03-31
报表类型,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,-1.255,21.438,12.983,13.983,15.536
投资活动之现金流入净额,-18.812,22.256,17.247,-12.778,-14.801
融资活动之现金流入净额,38.074,1.199,2.164,0.781,-2.534
现金及现金等价物增加,18.007,44.893,32.394,1.986,-1.799
会计年初之现金及现金等价物,48.268,3.357,3.357,1.365,3.164
会计年终之现金及现金等价物,66.287,48.268,35.727,3.357,1.365
外汇兑换率变动之影响,0.012,0.018,-0.024,0.006,--
购置固定资产款项,-6.302,-1.737,--,-1.108,-2.19
币种,港币,港币,港币,港币,港币
