报告期,2017-03-31,2016-03-31
报表类型,年报,年报
经营业务所得之现金流入净额,7.632,9.295
投资活动之现金流入净额,-9.978,-10.118
融资活动之现金流入净额,0.977,2.112
现金及现金等价物增加,-1.369,1.289
会计年初之现金及现金等价物,2.721,1.432
会计年终之现金及现金等价物,1.352,2.721
外汇兑换率变动之影响,--,--
购置固定资产款项,-0.532,-0.274
币种,港币,港币
