报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
非流动资产,5703.237,5016.493,5025.715,5022.976
流动资产,9434.131,2115.212,1355.375,1360.433
流动负债,1764.166,1658.466,1560.3,1387.821
净流动资产/(负债),7669.965,456.746,-204.925,-27.388
非流动负债,710.492,264.957,362.831,327.829
少数股东权益 - (借)/贷,41.514,42.057,82.491,68.608
净资产/(负债),12662.71,5208.282,4457.959,4667.759
已发行股本,0.569,0.431,0.409,0.409
储备,477.163,-145.235,-283.547,-59.864
股东权益/(亏损),12621.196,5166.225,4375.468,4599.151
无形资产(非流动资产),4501.097,4681.54,4820.629,4903.843
物业、厂房及设备(非流动资产),36.05,45.018,37.37,29.077
附属公司权益(非流动资产),--,--,--,--
联营公司权益 (非流动资产),451.396,179.442,89.058,4.949
其他投资(非流动资产),25.128,,,
应收账款(流动资产),780.097,557.122,185.598,225.952
存货(流动资产),222.486,137.92,147.892,153.12
现金及银行结存(流动资产),7502.43,404.915,331.09,830.017
应付帐款(流动负债),656.953,419.697,222.867,225.893
银行贷款(流动负债),--,--,--,--
非流动银行贷款,475,--,0.247,--
总资产,15137.368,7131.705,6381.09,6383.409
总负债,2474.658,1923.423,1923.131,1715.65
股份数目(香港),906417239股,--,--,--
币种,人民币,人民币,人民币,人民币
