报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
经营业务所得之现金流入净额,245514,138265,253701,143899,235089,127073,211022,120066
投资活动之现金流入净额,-106533,-117743,-194523,-100182,-142743,-71621,-146219,-70070
融资活动之现金流入净额,-108231,-27626,-48958,-27866,-86510,-21310,-42944,-21035
现金及现金等价物增加,30750,-7104,10220,15851,5836,34142,21859,28961
会计年初之现金及现金等价物,90413,90413,79842,79842,73812,66744,44931,44931
会计年终之现金及现金等价物,120636,83008,90413,95800,79842,100833,66744,73907
外汇兑换率变动之影响,-527,-301,351,107,194,-53,-46,15
购置固定资产款项,-193015,-85348,-188209,-82774,-172243,-69664,-170776,-83716
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
