报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,47.585,63.051,53.116,34.232,-3.591,56.171,48.634
投资活动之现金流入净额,-17.614,-17.473,-5.849,-27.079,-12.762,-19.866,-73.212
融资活动之现金流入净额,-27.022,38.699,-49.198,-0.257,13.687,-30.468,24.661
现金及现金等价物增加,2.949,84.277,-1.931,6.896,-2.666,5.837,0.083
会计年初之现金及现金等价物,99.342,15.065,15.065,8.169,8.169,2.332,2.249
会计年终之现金及现金等价物,102.291,99.342,13.134,15.065,5.503,8.169,2.332
外汇兑换率变动之影响,--,--,--,--,--,--,--
购置固定资产款项,-22.301,-22.525,-38.725,-29.16,-18.772,-27.667,-73.967
币种,港币,港币,港币,港币,港币,港币,港币
