报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,年报,中报,年报,中报,年报,年报,年报
营业额,21.443207,12.170445,23.705746,8.384603,16.079598,32.423867,23.497049
除税前盈利/(亏损),-11.636792,-7.199125,-2.285804,-3.653242,-2.485093,3.001753,-0.65381
税项,,,,,,,
除税后盈利/(亏损),-11.636792,-7.199125,-2.285804,-3.653242,-2.485093,3.001753,-0.65381
少数股东权益,,,,,,,
股东应占盈利/(亏损),-11.636792,-7.199125,-2.285804,-3.653242,-2.485093,3.001753,-0.65381
股息,,,,,,,
除税及股息后盈利/(亏损),-11.636792,-7.199125,-2.285804,-3.653242,-2.485093,3.001753,-0.65381
基本每股盈利(仙),-4.000000,-3.000000,-1.000000,-2.000000,,,
摊薄每股盈利(仙),-4.000000,-3.000000,-1.000000,-2.000000,--,--,--
每股股息(仙),--,--,--,--,--,--,--
销售成本,--,--,--,--,--,--,--
折旧,-6.179377,-3.501167,-7.764395,-3.05628,-4.596103,-6.976787,-9.373697
销售及分销费用,--,--,--,--,--,--,--
一般及行政费用,-6.149973,-3.123289,-2.711725,-1.279421,-2.330164,-3.135459,-2.857929
利息费用/融资成本,-6.884131,-4.359019,-3.405005,-1.655266,-3.27501,-3.162897,-2.673373
毛利,21.443207,12.170445,23.705746,8.384603,15.0079,27.129217,19.781659
经营盈利,-1.798377,0.153214,1.108027,0.082236,0.789917,6.535451,1.935478
应占联营公司盈利,--,--,--,--,--,--,--
币种,加元,加元,加元,加元,加元,加元,加元
