报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,27.863,-27.575,5.776,26.189,14.647,57.322,13.075
投资活动之现金流入净额,-27.426,-12.311,-2.113,1.058,-18.894,-24.98,-12.922
融资活动之现金流入净额,-3.734,85.831,-21.215,-6.109,-3.382,-3.997,1.627
现金及现金等价物增加,-3.297,45.945,-17.552,21.138,-7.629,28.345,1.78
会计年初之现金及现金等价物,98.165,52.22,52.22,31.082,31.082,2.737,0.957
会计年终之现金及现金等价物,94.868,98.165,34.668,52.22,23.453,31.082,2.737
外汇兑换率变动之影响,--,--,--,--,--,--,--
购置固定资产款项,-30.021,-12.908,-2.208,-10.235,-2.046,-3.863,-9.069
币种,港币,港币,港币,港币,港币,港币,港币
