序号,日期,持股基金家数,持股市值,占该股流通市值比例
1,2018-12-31,16,"2,140.630",1.030
2,2018-09-30,1,52.520,0.020
3,2018-06-30,13,"3,838.940",1.560
4,2017-12-31,5,24.230,0.010
5,2017-06-30,18,85.710,0.060
6,2016-12-31,1137,"2,621.180",
