科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"948,832,401.49","1,210,751,227.67","1,519,339,452.80","282,916,480.87","710,345,041.47","1,194,684,616.95","1,507,932,284.82","253,146,355.28","637,046,293.84","1,110,333,539.87","1,695,824,382.99","312,959,105.86","790,445,901.57","1,513,157,777.21","2,260,560,111.57","414,440,971.44","982,995,335.01","1,734,757,692.22","2,582,253,151.94","692,849,511.41","1,120,938,979.85","1,831,425,458.67","2,927,957,509.92","453,690,744.97","1,002,359,240.23","1,570,112,143.29"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,"18,494,228.16","64,884,469.10",,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,"5,000,000.00","5,019,800.00",,,,
收到其他与经营活动有关的现金,"5,683,065.93","3,148,504.02","4,178,219.65","17,986,983.79","1,217,668.53","5,715,000.11","22,141,691.12","1,479,435.55","11,734,514.22","15,629,818.02","26,912,523.90","5,098,394.73","12,064,250.47","18,612,954.07","32,248,212.21","10,298,178.97","13,599,332.67","17,096,852.44","33,625,355.04","893,522.98","4,462,751.69","10,247,383.27","34,337,920.15","4,061,631.12","13,486,458.82","19,290,153.96"
投资活动现金流出小计,"37,280,435.82","71,471,486.11","48,160,249.28","16,897,081.01","28,828,709.41","55,356,009.74","95,277,722.77","26,455,895.28","138,100,163.52","271,776,630.93","311,662,617.45","25,376,008.16","37,459,754.29","85,144,147.69","166,367,092.88","13,906,903.35","56,025,132.89","66,799,538.14","74,986,014.30","45,895,368.54","63,326,718.68","107,748,866.88","107,363,195.81","9,483,581.05","14,920,285.12","21,935,543.31"
经营活动现金流入小计,"954,515,467.42","1,213,899,731.69","1,523,517,672.45","300,903,464.66","711,562,710.00","1,200,399,617.06","1,530,073,975.94","254,625,790.83","648,780,808.06","1,125,963,357.89","1,722,736,906.89","318,057,500.59","802,510,152.04","1,531,770,731.28","2,292,808,323.78","424,739,150.41","996,594,667.68","1,751,854,544.66","2,615,878,506.98","693,743,034.39","1,125,401,731.54","1,841,672,841.94","2,962,295,430.07","457,752,376.09","1,015,845,699.05","1,589,402,297.25"
投资活动产生的现金流量净额,"-36,030,435.82","-68,443,986.11","-44,576,367.68","-16,897,081.01","-27,141,209.41","-53,668,509.74","-92,495,335.69","-26,446,895.28","-135,684,413.52","-178,318,562.81","-306,903,776.75","-982,872.55","43,892,207.42","-934,465.76","3,536,553.37","17,326,580.28","6,783,436.27","-3,720,968.98","-11,907,445.14","-35,873,505.53","-30,457,602.14","-74,873,800.34","-74,469,364.67","-9,471,489.05","-14,808,193.12","-21,449,836.55"
购买商品、接受劳务支付的现金,"782,143,358.79","1,016,282,249.25","1,292,713,533.90","281,925,906.46","655,411,956.51","1,272,605,185.78","1,364,219,233.31","472,602,131.94","911,899,223.60","1,385,674,395.58","1,636,247,167.26","354,389,116.36","702,711,783.09","1,298,951,907.83","1,862,684,611.34","536,582,902.38","1,109,757,453.89","1,799,560,794.51","2,368,834,066.84","530,566,375.46","833,626,325.10","1,477,453,940.98","2,173,365,774.78","658,605,760.19","1,128,696,635.74","1,571,204,372.86"
吸收投资收到的现金,,,,,"720,000,000.00","720,000,000.00","683,200,000.00",,,"12,339,200.00","13,978,000.00",,,"1,269,850.00","1,480,950.00",,"-3,083,890.00","-3,083,890.00","-3,083,890.00","-3,708,010.00","-3,708,010.00","703,196,804.62","703,196,804.62",,"-4,474,235.00","-4,474,235.00"
