科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"1,124,224,932.41","1,298,767,115.88","1,427,425,870.49","257,045,867.67","659,010,148.44","1,074,325,747.10","1,597,931,219.35","285,220,040.64","617,152,087.11","1,085,043,573.93","1,696,727,841.10","437,194,497.92","938,507,926.63"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"52,127,301.57","57,885,737.83","57,885,737.83",
收到的税费返还,,,,,,,,,,,"493,801.25",,"186,561.95"
支付其他与投资活动有关的现金,,,,,,,,,,,"2,516,037.73","40,000.00","250,000.00"
收到其他与经营活动有关的现金,"61,841,028.54","59,670,545.08","112,491,300.41","17,435,635.12","53,454,961.61","88,650,187.23","118,312,048.74","17,948,799.87","59,617,891.48","91,049,232.70","132,828,391.26","32,757,550.66","118,239,330.52"
投资活动现金流出小计,"92,385,014.79","79,845,947.14","74,203,088.54","227,905,271.21","642,314,316.84","940,859,884.56","1,490,925,816.50","474,900,894.25","762,840,702.44","1,112,920,746.47","1,335,771,983.65","730,224,667.29","920,966,752.18"
经营活动现金流入小计,"1,186,065,960.95","1,358,437,660.96","1,539,917,170.90","274,481,502.79","712,465,110.05","1,162,975,934.33","1,716,243,268.09","303,168,840.51","676,769,978.59","1,176,092,806.63","1,830,050,033.61","469,952,048.58","1,056,933,819.10"
投资活动产生的现金流量净额,"-89,575,438.79","-64,851,694.31","-68,082,930.97","-35,190,468.39","-278,134,952.62","-394,682,079.60","-424,266,235.94","-3,237,767.48","-28,050,545.07","2,964,336.57","6,893,600.76","-280,572,656.35","-410,933,363.05"
购买商品、接受劳务支付的现金,"784,126,664.48","931,202,230.63","990,332,555.33","340,016,036.56","537,029,795.42","812,586,429.96","1,142,810,624.09","249,780,292.46","560,709,539.53","888,090,922.22","1,247,283,127.59","523,922,910.48","952,393,486.68"
吸收投资收到的现金,,,,"387,350,000.00","387,350,000.00","387,350,000.00","387,350,000.00",,,,,,"7,500,000.00"
支付给职工以及为职工支付的现金,"75,002,674.49","93,929,572.86","106,541,308.10","25,368,786.99","49,764,285.62","77,207,279.38","104,785,271.67","28,055,910.44","57,670,456.39","88,996,046.72","122,632,052.53","62,504,300.89","116,374,378.76"
取得借款收到的现金,"169,000,000.00","155,000,000.00","383,980,000.00","142,600,000.00","142,600,000.00","147,600,000.00","147,600,000.00","10,000,000.00","10,000,000.00","10,000,000.00","30,000,000.00","439,840,000.00","697,067,200.00"
支付的各项税费,"92,379,404.57","109,300,046.75","98,620,935.13","13,750,023.83","29,264,921.78","57,940,554.23","89,478,608.87","23,082,581.51","33,829,708.91","52,781,261.64","95,591,606.66","54,372,603.32","85,818,537.93"
收到其他与筹资活动有关的现金,,,,,,,,,,,"472,626.17",,
