科目,2012-12-31,2013-12-31,2014-12-31,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"14,468,883.71","19,688,232.83","19,238,758.66","17,615,433.93","24,630,207.56","258,923,550.94","87,174,926.53","75,475,993.78","52,749,291.12","123,542,219.95","68,603,892.41","64,782,659.80","98,403,951.29","98,647,076.35","854,846,213.61","748,022,707.03","576,191,738.84","502,733,735.17"
短期借款,"18,857,500.00","58,412,000.00","103,860,000.00","140,000,000.00","140,000,000.00","145,500,000.00","37,000,000.00","67,000,000.00","82,000,000.00","185,000,000.00","215,000,000.00","269,700,000.00","375,300,000.00","413,500,000.00","616,164,466.70","698,811,628.48","601,403,572.56","536,362,774.57"
交易性金融资产,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,
应收票据,,,,"100,000.00",,,,,,,,"535,535.76",,"1,809,737.14","4,163,994.84","2,917,000.00","5,171,863.31","8,763,768.91"
应付票据,,,"15,795,197.87","5,975,598.49","5,031,070.60","7,678,713.44","10,003,838.35","12,118,290.29","25,341,969.89","56,249,184.97","57,688,474.14","58,195,811.84","48,609,215.71","96,321,427.83","156,837,878.73",,"81,095,876.01",
应收账款,"62,854,043.07","94,007,484.26","136,595,192.51","181,767,368.14","180,825,646.32","176,991,749.41","205,282,697.79","226,779,772.51","257,765,439.87","261,497,930.08","265,400,578.06","302,901,220.26","372,170,566.13","393,857,066.41","550,041,945.64","540,696,365.90","869,195,048.95","784,073,868.80"
应付账款,"40,991,224.91","55,620,805.87","72,089,235.31","119,414,850.27","121,821,302.70","117,898,817.11","129,634,389.71","128,881,365.83","151,351,750.98","145,566,607.03","168,156,697.88","213,614,406.50","284,113,509.06","293,101,465.52","491,464,823.34",,"497,629,914.80",
预付款项,"765,347.23","1,009,223.41","2,494,135.70","3,288,411.50","3,402,357.43","3,733,582.03","1,215,446.60","9,990,803.63","4,600,329.06","9,578,038.96","5,480,199.11","6,232,353.98","4,475,585.46","6,997,267.83","11,274,172.15","8,808,599.36","2,511,822.03","12,309,830.90"
预收款项,"1,032,450.88","308,353.55","78,750.50","1,190,244.94","909,399.15","1,099,399.15","1,383,088.15","872,729.15","1,277,930.93","5,855,659.17","370,968.43","356,568.43","1,653,442.47","699,139.15","2,207,247.26","805,318.48","28,751,839.15","28,857,665.13"
其他应收款,"4,546,250.65","6,479,439.40","6,453,809.92","12,032,451.48","9,993,703.33","11,500,083.75","15,106,921.36","12,152,701.76","12,504,673.76","14,660,060.31","29,424,263.30","21,223,557.04","26,133,470.00","31,146,412.60","37,991,126.55","37,932,187.86","30,808,781.48","37,184,501.48"
应付职工薪酬,"1,231,369.39","1,994,515.11","2,562,721.04","2,722,715.79","3,167,119.73","2,706,351.30","3,259,410.51","4,630,398.21","5,326,400.94","3,049,019.01","4,859,370.62","5,079,722.81","7,628,360.51","7,501,496.04","7,986,658.61","7,604,412.41","13,162,975.01","7,018,472.37"
应收关联公司款,,,,,,,,,,,,,,,,,,
应交税费,"14,304,429.13","16,549,156.77","24,759,882.05","26,355,700.08","31,182,653.20","29,670,953.28","27,597,481.57","25,363,840.50","29,914,373.87","21,775,104.40","20,034,848.80","20,239,892.82","45,917,691.02","35,783,295.24","91,639,830.76","99,598,540.29","83,394,369.51","82,961,986.38"
应收利息,,,,,,,,,,,,,"45,000.00","101,250.00","158,125.00",,"1,467,078.19","1,955,328.19"
应付利息,,,"238,732.56","221,444.44","227,634.61","250,249.41","52,456.67","52,456.67","122,886.14","245,895.83","245,895.83","245,895.83","661,408.00","772,500.00","935,300.00",,"1,018,715.63","924,452.00"
应收股利,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,"30,000,000.00",,,,,,,
存货,"49,710,540.73","81,021,706.18","179,336,054.10","192,700,111.05","213,670,607.36","241,177,181.01","275,947,762.55","295,540,739.64","367,359,386.36","406,981,420.14","507,556,987.84","608,360,715.04","459,848,073.43","499,109,650.72","733,496,379.54","841,321,242.24","581,366,956.43","772,403,752.95"
其他应付款,"1,023,901.56","356,776.34","884,013.35","1,070,059.14","1,260,070.73","12,343,936.41","1,202,367.88","936,353.30","8,458,507.51","2,798,452.42","4,413,615.76","3,236,649.87","1,923,660.47","1,539,940.69","24,136,506.31","45,557,491.51","5,099,084.76","3,273,793.40"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,"23,095,140.51","30,030,388.01","9,530,513.70","3,691,819.86","2,349,624.06","2,386,246.67","4,283,608.73","4,351,642.88","1,921,776.48","1,951,398.72","2,793,911.21","2,793,911.21","32,084,551.23","29,231,729.17","29,231,729.17","73,675,989.20","190,906,493.65","190,906,493.65"
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,
其他流动资产,"146,744.66","536,247.71","1,882,827.06","4,388,626.39","4,654,961.84","4,732,506.81","6,441,866.89","6,646,471.87","4,013,869.38","4,550,303.38","11,451,550.75","11,737,772.73","11,101,869.05","26,385,980.67","52,715,468.73","68,963,729.90","63,360,611.90","59,758,145.52"
其他流动负债,,,,,,,,,"19,750,982.97","19,568,216.83","34,304,606.10","42,541,937.95","32,453,197.90","36,343,745.29","59,230,153.15","54,462,072.52","55,266,399.58","73,334,465.67"
