科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"2,014,718,098.56","1,885,863,880.97","1,935,905,442.33","554,688,678.06","1,010,873,193.57","1,490,019,896.59","1,998,882,436.16","399,673,120.12","825,242,310.26","1,599,333,042.67","2,349,697,835.93","542,451,635.83","1,155,931,474.06","1,728,614,561.79","2,406,452,891.55","470,362,331.93","746,317,749.99"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,
收到的税费返还,"264,176.78","428,096.93","212,384.66",,"36,010.77","36,010.77","36,010.77",,,"179,878.44","297,125.10","156,516.07","1,294,137.68","2,068,589.59","2,068,589.59",,
支付其他与投资活动有关的现金,,"40,000,000.00","8,829,259,096.39","49,441,960.00","927,841,960.00","1,117,941,960.00","1,373,841,960.00","293,400,000.00","809,400,000.00","1,261,000,000.00","7,835,000,000.00","952,420,000.00","1,624,020,000.00","2,410,220,000.00",,,"2,156,481,101.48"
收到其他与经营活动有关的现金,"15,904,571.83","48,482,101.25","17,048,383.76","14,459,494.15","34,454,231.80","52,075,493.15","17,389,349.24","23,949,509.23","31,492,129.01","77,905,429.20","17,016,777.47","18,764,307.80","110,658,825.92","189,431,349.79","30,087,591.42","67,194,560.69","170,721,985.96"
投资活动现金流出小计,"244,386,004.63","257,249,473.10","8,897,055,699.24","77,248,882.33","964,633,159.51","1,200,782,611.32","1,497,195,068.04","330,172,100.28","892,291,446.88","1,421,261,542.26","8,125,922,251.13","1,005,393,239.66","1,738,436,175.96","2,563,867,186.15","3,669,758,295.70","887,153,631.54","2,249,909,469.78"
经营活动现金流入小计,"2,030,886,847.17","1,934,774,079.15","1,953,166,210.75","569,148,172.21","1,045,363,436.14","1,542,131,400.51","2,016,307,796.17","423,622,629.35","856,734,439.27","1,677,418,350.31","2,367,011,738.50","561,372,459.70","1,267,884,437.66","1,920,114,501.17","2,438,609,072.56","537,556,892.62","917,039,735.95"
投资活动产生的现金流量净额,"-243,782,954.09","-245,006,169.40","-123,570,909.22","26,219,347.25","46,741,487.87","-77,183,929.56","-125,005,352.05","17,523,942.38","-52,363,431.08","-120,626,073.76","-852,129,611.01","146,498,943.12","34,841,817.36","16,368,092.47","-389,859,384.66","182,157,109.24","374,125,087.91"
购买商品、接受劳务支付的现金,"1,625,391,366.13","1,651,452,074.07","1,658,039,192.11","494,088,178.12","796,883,005.81","1,159,532,860.57","1,642,622,986.23","322,370,827.13","557,592,367.32","1,106,508,780.18","1,694,446,193.45","436,452,352.71","897,147,996.19","1,379,076,915.80","1,932,904,729.35","444,954,773.84","650,758,021.55"
吸收投资收到的现金,,,,"172,250,000.00","172,250,000.00","172,250,000.00","173,050,000.00",,"2,000,000.00","838,487,497.05","827,287,497.05",,,,,,"24,000,000.00"
