科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"1,624,264,204.97","1,872,215,024.95","2,199,513,493.53","687,761,995.91","1,041,383,620.35","1,591,488,292.16","2,501,181,434.05","857,161,885.32","1,485,126,478.72","2,093,480,969.21","2,918,291,340.63","762,956,694.33","1,550,857,544.97","2,697,923,621.52","4,627,097,329.44","1,321,437,908.56","2,912,634,983.81","4,396,333,883.27","6,227,774,932.37","1,395,951,353.13"
取得子公司及其他营业单位支付的现金净额,"30,357,081.33",,,,,,,,"4,285,525.67","4,285,525.67","22,035,984.00",,,,"226,571,769.51",,,,"288,900,000.00",
收到的税费返还,"114,118,185.25","91,065,173.23","108,781,382.41","39,384,531.11","64,462,768.95","109,920,882.28","147,538,205.31","39,825,664.60","66,788,520.72","91,710,788.93","140,756,744.62","25,225,738.03","63,147,785.24","101,073,638.12","125,486,335.97","43,996,516.72","73,936,507.62","109,771,999.07","134,119,381.12","45,019,464.91"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,"190,000,000.00",,,,,
收到其他与经营活动有关的现金,"20,420,158.30","22,870,750.65","35,736,125.35","5,917,890.52","30,679,019.83","39,242,542.94","21,633,902.44","19,075,262.57","32,559,323.51","57,281,130.34","26,166,529.07","9,844,308.42","70,344,609.25","85,828,656.78","87,517,983.95","14,910,651.31","19,582,623.30","51,730,570.81","80,215,832.87","25,230,271.37"
投资活动现金流出小计,"123,791,703.64","180,847,042.04","394,556,369.37","89,991,339.41","1,069,441,312.03","1,174,686,001.56","3,077,112,359.54","149,871,149.09","801,759,220.22","932,187,084.74","1,254,247,509.66","322,206,289.91","1,240,802,984.22","2,857,840,024.67","3,869,886,840.01","890,997,889.27","2,029,015,128.99","2,687,514,940.54","3,901,641,245.80","661,614,588.72"
经营活动现金流入小计,"1,758,802,548.52","1,986,150,948.83","2,344,031,001.29","733,064,417.54","1,136,525,409.13","1,740,651,717.38","2,670,353,541.80","916,062,812.49","1,584,474,322.95","2,242,472,888.48","3,085,214,614.32","798,026,740.78","1,684,349,939.46","2,884,825,916.42","4,840,101,649.36","1,380,345,076.59","3,006,154,114.73","4,557,836,453.15","6,442,110,146.36","1,466,201,089.41"
投资活动产生的现金流量净额,"-99,512,694.49","-171,786,965.69","-384,903,086.37","-89,960,339.41","-1,054,762,085.04","-885,691,429.59","-938,179,922.69","122,528,464.69","-245,632,410.50","46,091,583.26","-163,318,686.28","-314,425,636.80","-1,224,352,704.25","-2,450,697,681.79","-2,918,798,658.96","-364,038,289.55","-654,657,316.66","-800,729,439.64","-894,630,117.23","112,451,977.91"
购买商品、接受劳务支付的现金,"968,801,253.67","1,084,914,767.26","1,176,973,111.21","534,188,546.99","713,206,954.28","1,050,505,472.30","1,610,977,747.89","629,486,359.26","894,488,077.52","1,284,666,262.39","1,734,566,515.12","398,231,841.19","588,177,472.91","1,308,195,324.13","2,480,264,238.31","910,183,443.91","1,888,789,781.63","3,058,261,502.90","4,167,711,782.65","1,059,544,135.61"
吸收投资收到的现金,,,,"1,406,152,000.00","1,391,977,504.44","1,391,977,504.44","1,391,987,674.44",,,,,,"2,360,502,929.28","2,360,503,204.71","2,360,429,169.09",,,,,
支付给职工以及为职工支付的现金,"180,753,240.71","223,017,066.06","284,430,246.19","90,010,673.55","159,575,741.43","245,067,954.68","363,967,945.82","112,205,739.76","224,876,506.17","326,580,337.30","470,114,963.73","161,691,018.17","322,390,537.38","423,986,030.02","626,715,189.18","205,365,912.68","401,284,548.16","558,545,087.19","784,623,338.88","189,442,095.19"
取得借款收到的现金,"330,000,000.00","245,000,000.00","255,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","90,000,000.00",,"200,000,000.00","200,000,000.00","200,000,000.00",,"50,000,000.00","550,000,000.00","1,420,500,000.00",,"407,900,000.00","407,900,000.00","797,900,000.00","32,100,000.00"
支付的各项税费,"148,094,691.44","181,777,539.59","209,176,118.83","48,188,210.33","107,879,895.37","155,739,544.88","207,113,564.37","71,070,360.22","139,060,222.62","215,622,313.61","307,049,473.35","102,779,200.62","221,274,784.09","322,392,735.96","394,023,078.35","112,239,044.10","260,184,825.01","339,135,504.11","412,116,865.35","81,747,814.41"
收到其他与筹资活动有关的现金,"123,078.23","1,892,857.29","360,931.62",,"2,438,034.75","2,438,034.75","2,438,034.75",,"2,153,263.72","2,478,284.97","2,153,263.72",,"1,945,860.00","2,245,860.00",,,"12,015,000.00","12,015,000.00",,
支付其他与经营活动有关的现金,"166,941,865.45","168,222,120.60","214,643,565.28","53,897,609.58","93,304,301.54","136,947,513.33","250,196,827.37","61,763,669.23","141,039,708.60","195,968,790.83","297,170,843.99","51,589,999.35","154,618,486.08","212,884,362.82","410,086,167.48","67,150,046.03","176,236,249.18","223,825,485.88","472,326,612.99","60,282,474.27"
筹资活动现金流入小计,"330,123,078.23","246,892,857.29","255,360,931.62","1,506,152,000.00","1,494,415,539.19","1,494,415,539.19","1,484,425,709.19",,"202,153,263.72","202,478,284.97","202,153,263.72",,"2,412,448,789.28","2,912,749,064.71","3,780,929,169.09",,"419,915,000.00","419,915,000.00","797,900,000.00","32,100,000.00"
经营活动现金流出小计,"1,464,591,051.27","1,657,931,493.51","1,885,223,041.51","726,285,040.45","1,073,966,892.62","1,588,260,485.19","2,432,256,085.45","874,526,128.47","1,399,464,514.91","2,022,837,704.13","2,808,901,796.19","714,292,059.33","1,286,461,280.46","2,267,458,452.93","3,911,088,673.32","1,294,938,446.72","2,726,495,403.98","4,179,767,580.08","5,836,778,599.87","1,391,016,519.48"
偿还债务支付的现金,"480,000,000.00","355,000,000.00",,"355,000,000.00","355,000,000.00","355,000,000.00","345,000,000.00",,,,,,"250,000,000.00","250,000,000.00","820,500,000.00","168,153,611.00","349,000,000.00","849,000,000.00","949,000,000.00","25,000,000.00"
经营活动产生的现金流量净额,"294,211,497.25","328,219,455.32","458,807,959.78","6,779,377.09","62,558,516.51","152,391,232.19","238,097,456.35","41,536,684.02","185,009,808.04","219,635,184.35","276,312,818.13","83,734,681.45","397,888,659.00","617,367,463.49","929,012,976.04","85,406,629.87","279,658,710.75","378,068,873.07","605,331,546.49","75,184,569.93"
分配股利、利润或偿还利息支付的现金,"37,155,395.03","29,615,777.16","378,215,275.06","3,419,777.80","3,419,777.80","126,446,811.37","124,945,609.25",,,"401,820,600.00","402,510,322.22","1,487,883.34","3,301,877.56","7,162,502.56","16,158,522.63","17,086,194.70","25,525,108.04","30,758,099.30","26,021,852.96","6,484,141.05"
收回投资收到的现金,,,,,"7,000,000.00","262,000,000.00","2,120,432,233.71","270,000,000.00","545,000,000.00","945,000,000.00","1,042,728,715.82","7,500,000.00","9,976,333.33","336,775,916.66","872,672,241.10","500,000,000.00","1,337,167,935.37","1,837,943,527.81","2,973,797,157.27","773,832,482.11"
支付其他与筹资活动有关的现金,"1,892,857.29","360,931.62","2,438,034.75",,"3,363,176.21","2,551,433.86","2,153,263.72",,"793,359.29","1,314,621.44","2,226,860.00",,"745,912.40","945,912.40",,,"72,923,814.37","72,923,814.37","72,653,611.00",
取得投资收益收到的现金,"13,491,322.53","3,593,664.70","9,264,066.85",,"3,161,737.29","21,426,773.40","16,888,295.14","2,399,613.78","8,372,093.69","26,131,614.77","16,202,534.77","188,089.61","382,106.90","2,504,159.95","15,005,057.45","26,922,424.54","26,922,424.54","26,922,424.54","26,197,152.79",
筹资活动现金流出小计,"519,048,252.32","384,976,708.78","380,653,309.81","358,419,777.80","361,782,954.01","483,998,245.23","472,098,872.97",,"793,359.29","403,135,221.44","404,737,182.22","1,487,883.34","254,047,789.96","258,108,414.96","836,658,522.63","185,239,805.70","447,448,922.41","952,681,913.67","1,047,675,463.96","31,484,141.05"
处置固定资产、无形资产和其他长期资产收回的现金净额,"10,787,686.62","1,382,911.65","389,216.15","31,000.00","4,517,489.70","5,567,798.57","1,611,908.00",,"2,754,716.03","7,147,053.23","2,042,572.79","92,563.50","6,091,839.74","7,862,266.27","660,882.50","37,175.18","10,267,452.42","10,509,644.55","7,016,818.51","234,084.52"
筹资活动产生的现金流量净额,"-188,925,174.09","-138,083,851.49","-125,292,378.19","1,147,732,222.20","1,132,632,585.18","1,010,417,293.96","1,012,326,836.22",,"201,359,904.43","-200,656,936.47","-202,583,918.50","-1,487,883.34","2,158,400,999.32","2,654,640,649.75","2,944,270,646.46","-185,239,805.70","-27,533,922.41","-532,766,913.67","-249,775,463.96","615,858.95"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"626,387.84","-4,255,727.07","-328,786.29","924,876.20","2,607,621.12","3,785,441.19","430,703.14","1,096,385.62","751,147.86","1,376,184.11","6,219,340.86","-865,126.50","2,593,592.28","4,949,592.40","2,350,517.03","-1,103,869.12","-1,438,090.52","166,507.94","12,319,542.58","-728,297.90"
收到其他与投资活动有关的现金,,"4,083,500.00",,,,,,,,,"29,955,000.00",,,"60,000,000.00","62,750,000.00",,,"11,409,904.00",,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"24,279,009.15","9,060,076.35","9,653,283.00","31,000.00","14,679,226.99","288,994,571.97","2,138,932,436.85","272,399,613.78","556,126,809.72","978,278,668.00","1,090,928,823.38","7,780,653.11","16,450,279.97","407,142,342.88","951,088,181.05","526,959,599.72","1,374,357,812.33","1,886,785,500.90","3,007,011,128.57","774,066,566.63"
五、现金及现金等价物净增加额,"6,400,016.51","14,092,911.07","-51,716,291.07","1,065,476,136.08","143,036,637.77","280,902,537.75","312,675,073.02","165,161,534.33","141,488,449.83","66,446,015.25","-83,370,445.79","-233,043,965.19","1,334,530,546.35","826,260,023.85","956,835,480.57","-464,975,334.50","-403,970,618.84","-955,260,972.30","-526,754,492.12","187,524,108.89"
购建固定资产、无形资产和其他长期资产支付的现金,"92,805,812.31","176,939,598.04","380,592,623.37","82,491,339.41","261,941,312.03","356,186,001.56","428,712,359.54","132,036,149.12","397,473,694.55","527,901,559.07","741,711,525.66","314,706,289.91","633,302,984.22","939,340,024.67","1,286,815,070.50","302,097,889.27","740,115,128.99","1,048,614,940.54","1,328,241,245.80","255,997,988.72"
期初现金及现金等价物余额,"103,510,095.85","109,910,112.36","124,003,023.43","72,286,732.36","72,286,732.36","72,286,732.36","72,286,732.36","384,961,805.38","384,961,805.38","384,961,805.38","384,961,805.38","301,591,359.59","301,591,359.59","301,591,359.59","301,591,359.59","1,258,426,840.16","1,258,426,840.16","1,258,426,840.16","1,258,426,840.16","731,672,348.04"
投资支付的现金,"628,810.00","3,907,444.00","13,963,746.00","7,500,000.00","807,500,000.00","818,500,000.00","2,648,400,000.00","17,834,999.97","400,000,000.00","400,000,000.00","490,500,000.00","7,500,000.00","607,500,000.00","1,918,500,000.00","2,166,500,000.00","588,900,000.00","1,288,900,000.00","1,638,900,000.00","2,284,500,000.00","405,616,600.00"
期末现金及现金等价物余额,"109,910,112.36","124,003,023.43","72,286,732.36","1,137,762,868.44","215,323,370.13","353,189,270.11","384,961,805.38","550,123,339.71","526,450,255.21","451,407,820.63","301,591,359.59","68,547,394.40","1,636,121,905.94","1,127,851,383.44","1,258,426,840.16","793,451,505.66","854,456,221.32","303,165,867.86","731,672,348.04","919,196,456.93"
