科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"161,504,289.84","258,858,520.25","253,460,507.84","163,066,783.47","242,736,568.99","48,548,213.48","102,174,598.20","160,977,882.39","291,930,767.53","83,546,951.54","178,880,074.56","310,216,311.29","436,245,340.62","83,306,116.33","268,701,011.16","425,023,537.35","687,833,712.48","186,698,015.21"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"93,612,954.65","52,685,248.67","55,311,826.15","57,232,222.82","163,381,043.52",,,,,
收到的税费返还,,,,,,,,,,,"19,234.21","4,527,146.06","6,975,412.49","2,704,555.17","4,986,221.25","7,968,764.61","11,689,294.60","2,715,615.28"
支付其他与投资活动有关的现金,,"300,000.00",,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"6,942,326.98","7,732,643.95","27,121,989.13","20,973,641.34","22,996,952.68","8,323,690.59","19,806,096.41","23,766,581.24","33,916,532.88","10,170,834.92","25,177,213.25","33,479,418.91","42,268,010.10","14,053,188.90","33,591,984.64","50,686,731.73","60,977,146.80","10,289,250.21"
投资活动现金流出小计,"27,228,999.20","55,478,489.18","45,469,600.51","37,931,821.71","42,612,730.33","12,914,207.55","17,879,011.10","30,896,700.11","171,365,646.44","70,795,634.71","87,118,615.92","100,915,786.83","244,253,502.77","13,818,767.61","34,275,355.91","43,515,617.31","105,136,274.42","22,922,879.27"
经营活动现金流入小计,"168,446,616.82","266,591,164.20","280,582,496.97","184,040,424.81","265,733,521.67","56,871,904.07","121,980,694.61","184,744,463.63","325,847,300.41","93,717,786.46","204,076,522.02","348,222,876.26","485,488,763.21","100,063,860.40","307,279,217.05","483,679,033.69","760,500,153.88","199,702,880.70"
投资活动产生的现金流量净额,"-27,221,999.20","-55,047,889.18","-45,469,600.51","-37,931,821.71","-42,610,730.33","-12,914,207.55","-17,832,981.97","-30,850,670.98","-171,319,617.31","-70,760,333.73","-87,083,314.94","-100,880,485.85","-244,198,202.77","-13,818,767.61","-34,273,198.63","-43,513,460.03","-105,119,791.51","-22,922,879.27"
购买商品、接受劳务支付的现金,"99,749,191.61","133,133,369.31","115,953,766.72","123,568,650.31","137,114,976.56","40,151,542.11","72,384,018.00","113,617,218.00","164,150,256.56","53,014,313.51","93,869,934.70","159,073,044.11","187,464,974.23","55,734,808.33","143,540,514.12","269,277,395.52","374,520,183.37","168,040,389.76"
吸收投资收到的现金,"100,280,000.00","1,150,000.00","960,000.00","960,000.00","960,000.00","273,780,000.00","273,780,000.00","273,780,000.00","465,155,000.00",,,,"163,897,486.98","16,400,000.00","78,241,369.99","78,241,369.99","78,241,370.00",
