科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"137,017,618.51","109,334,826.68","176,576,373.46","26,149,055.45","72,852,233.38","116,581,583.03","163,479,513.97","42,597,081.15","95,104,600.49","154,574,855.93","324,967,953.57","38,227,853.25","173,283,107.30","263,047,705.16","412,133,906.71","43,968,894.01","187,952,456.48","275,631,322.79","546,697,315.75","124,001,679.49","213,410,761.18","350,255,683.64","627,171,585.24","110,194,097.36","305,219,823.58","539,351,263.41","1,064,032,271.39","195,310,218.37","398,285,151.52","637,098,001.51"
取得子公司及其他营业单位支付的现金净额,"900,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,"239,316.23",,"226,541.56","226,541.56","551,962.93","29,361.32","217,898.06","551,744.21","557,727.12","33,863.24","318,649.55","323,435.88","353,350.42","141,996.58","195,842.74","195,842.74","367,157.27",,"120,053.00","120,053.00","261,809.58","43,675.22","44,871.80","44,871.80","488,418.81",,"825,883.13","868,169.22"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"3,751,063.82","6,172,603.83","10,945,628.29","2,675,001.55","3,851,295.90","8,300,404.57","9,780,973.76","3,128,308.91","3,858,286.27","5,871,422.83","4,997,825.30","1,332,325.95","4,746,398.80","7,135,563.64","3,625,470.19","4,331,071.44","22,613,521.14","33,364,356.50","15,805,540.72","15,478,830.60","22,001,148.20","44,347,870.39","24,587,872.50","7,439,761.64","11,824,273.95","19,135,398.52","30,805,347.39","6,914,812.30","13,272,025.25","22,176,108.47"
投资活动现金流出小计,"7,397,614.03","8,665,404.18","5,643,166.42","4,446,153.95","5,862,302.92","8,657,229.92","57,974,937.83","3,313,957.90","7,384,908.86","8,050,427.75","13,938,633.20","2,049,591.80","4,050,031.69","6,568,941.74","11,848,827.47","2,931,690.47","3,625,773.75","3,808,786.67","7,085,489.01","1,287,940.45","5,041,280.45","69,489,278.46","77,810,391.07","4,340,395.03","22,252,556.81","27,701,746.62","275,952,789.31","4,325,583.78","5,873,617.63","7,922,330.26"
经营活动现金流入小计,"140,768,682.33","115,507,430.51","187,761,317.98","28,824,057.00","76,930,070.84","125,108,529.16","173,812,450.66","45,754,751.38","99,180,784.82","160,998,022.97","330,523,505.99","39,594,042.44","178,348,155.65","270,506,704.68","416,112,727.32","48,441,962.03","210,761,820.36","309,191,522.03","562,870,013.74","139,480,510.09","235,531,962.38","394,723,607.03","652,021,267.32","117,677,534.22","317,088,969.33","558,531,533.73","1,095,326,037.59","202,225,030.67","412,383,059.90","660,142,279.20"
投资活动产生的现金流量净额,"-7,397,614.03","-8,665,404.18","-5,643,166.42","-4,446,153.95","-5,862,302.92","-8,657,229.92","-57,859,937.83","-3,313,957.90","-7,384,908.86","-8,050,427.75","-13,938,633.20","-2,046,365.35","-4,046,805.24","-6,475,145.19","-11,479,913.77","-2,930,320.47","-3,192,847.75","-3,375,860.67","-6,651,743.01","-1,287,793.45","-5,040,365.45","-69,488,148.46","-77,810,391.07","-4,339,581.03","-22,250,227.81","-27,698,832.62","-275,952,789.31","-4,164,986.78","-5,311,772.63","-7,359,169.26"
购买商品、接受劳务支付的现金,"103,542,923.09","45,742,950.95","85,966,396.79","31,772,576.73","62,192,094.17","85,569,958.71","102,653,729.53","27,805,953.21","62,140,196.87","111,053,576.79","212,719,855.16","86,588,228.34","141,953,383.21","181,367,466.82","270,251,201.73","121,127,144.73","197,297,006.21","280,248,527.74","442,883,510.56","77,111,424.97","155,580,602.22","240,769,396.62","425,750,129.96","202,148,474.66","398,257,148.90","647,121,039.97","844,447,881.95","183,599,202.29","323,336,153.08","430,040,150.57"
吸收投资收到的现金,,"10,400,000.00",,,"173,828,000.00","173,828,000.00","167,840,000.00",,,,,,,,,,,,"44,494,190.00",,"17,286,468.00","17,286,468.00","17,286,468.00",,"57,309,300.00","57,309,300.00","57,309,300.00",,,
支付给职工以及为职工支付的现金,"16,109,858.70","16,225,844.64","19,392,640.01","4,259,966.96","10,623,883.66","17,453,897.36","26,240,876.43","5,562,811.46","12,181,156.11","19,942,891.12","38,925,536.85","7,827,513.68","16,649,079.15","31,606,311.44","49,656,542.17","12,447,594.47","24,720,739.92","43,428,138.41","61,081,923.57","17,791,100.82","31,524,301.33","47,944,756.00","66,521,037.69","37,262,894.46","58,161,128.58","81,518,321.74","97,026,999.50","19,074,909.80","49,661,603.75","75,473,712.68"
取得借款收到的现金,,,,,,,,,,,"5,000,000.00","33,705,984.00","52,705,984.00","54,447,702.00","62,388,323.00","17,795,679.00","40,334,326.61","40,334,326.61","40,334,326.61",,,"5,000,000.00","5,000,000.00","95,000,000.00","189,500,000.00","247,890,865.24","257,974,298.24","96,000,000.00","198,292,024.85","273,569,672.85"
支付的各项税费,"6,969,823.58","8,006,788.67","14,954,833.04","7,080,020.93","9,753,712.90","14,587,308.03","15,082,436.80","4,023,531.49","7,898,453.87","12,702,539.76","14,347,397.37","7,615,397.58","12,371,427.96","16,295,403.45","18,325,087.70","12,062,140.07","14,831,295.12","19,234,821.91","27,423,421.79","5,714,598.42","8,150,234.31","24,558,873.00","33,406,307.22","12,107,376.87","19,071,403.17","36,130,527.97","51,276,981.06","15,023,295.88","28,386,157.73","37,348,802.19"
收到其他与筹资活动有关的现金,"20,300,000.00","8,500,000.00",,,,,,,,,,,,,,,,,,,,,"25,260,000.00",,,,,,"27,000,000.00","27,000,000.00"
支付其他与经营活动有关的现金,"16,462,060.83","19,985,840.96","31,021,617.83","9,100,706.54","15,861,814.72","26,754,582.42","32,494,139.91","11,891,590.19","16,529,648.73","34,705,008.33","35,503,767.42","10,022,996.78","21,832,119.32","32,741,432.08","43,780,861.25","15,152,998.32","60,664,120.33","81,840,847.29","50,933,576.31","17,895,926.77","40,432,654.73","63,661,171.53","81,382,748.03","18,075,599.18","46,048,151.16","90,049,419.61","102,495,953.24","20,456,375.87","59,318,697.77","131,794,265.53"
筹资活动现金流入小计,"20,300,000.00","18,900,000.00",,,"173,828,000.00","173,828,000.00","167,840,000.00",,,,"5,000,000.00","33,705,984.00","52,705,984.00","54,447,702.00","62,388,323.00","17,795,679.00","40,334,326.61","40,334,326.61","84,828,516.61",,"17,286,468.00","22,286,468.00","47,546,468.00","95,000,000.00","246,809,300.00","305,200,165.24","315,283,598.24","96,000,000.00","225,292,024.85","300,569,672.85"
经营活动现金流出小计,"143,084,666.20","89,961,425.22","151,335,487.67","52,213,271.16","98,431,505.45","144,365,746.52","176,471,182.67","49,283,886.35","98,749,455.58","178,404,016.00","301,496,556.80","112,054,136.38","192,806,009.64","262,010,613.79","382,013,692.85","160,789,877.59","297,513,161.58","424,752,335.35","582,322,432.23","118,513,050.98","235,687,792.59","376,934,197.15","607,060,222.90","269,594,345.17","521,537,831.81","854,819,309.29","1,095,247,815.75","238,153,783.84","460,702,612.33","674,656,930.97"
偿还债务支付的现金,,,,,,,,,,,,"28,805,984.00","57,705,984.00","57,705,984.00","67,388,323.00",,"17,795,679.00","17,795,679.00","40,334,326.61",,,,"4,900,000.00",,,"60,000,000.00","100,100,000.00","55,000,000.00","92,453,433.00","153,571,902.41"
经营活动产生的现金流量净额,"-2,315,983.87","25,546,005.29","36,425,830.31","-23,389,214.16","-21,501,434.61","-19,257,217.36","-2,658,732.01","-3,529,134.97","431,329.24","-17,405,993.03","29,026,949.19","-72,460,093.94","-14,457,853.99","8,496,090.89","34,099,034.47","-112,347,915.56","-86,751,341.22","-115,560,813.32","-19,452,418.49","20,967,459.11","-155,830.21","17,789,409.88","44,961,044.42","-151,916,810.95","-204,448,862.48","-296,287,775.56","78,221.84","-35,928,753.17","-48,319,552.43","-14,514,651.77"
分配股利、利润或偿还利息支付的现金,,,,,,,,,"4,066,683.48","7,999,936.00","8,023,955.56","115,078.66","12,161,157.60","12,161,157.60","12,196,076.48","10,818.60","6,527,819.51","8,903,890.20","12,246,516.95",,"28,314,375.75","28,314,494.87","28,696,429.71",,"1,344,171.31","35,429,721.87","39,197,632.24","2,042,808.60","3,029,151.96","56,579,854.98"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"11,019,808.08","18,934,911.24","240,365.41",,"3,374,277.18","4,794,277.18","216,661.88",,"47,353.01","47,353.01",,,"51,635.48","51,635.48",,,"115,308.59","115,308.59",,,"172,406.74","172,406.74",,,,,,,"50,216.25","50,216.25"
