科目,2011-12-31,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"277,419,405.86","425,997,230.52","816,991,386.82","1,425,051,097.79","1,423,421,366.02","1,957,034,211.27","2,478,051,995.71","2,458,873,408.10","2,672,443,537.49","3,024,259,348.19","5,967,297,008.09","4,897,681,001.08","3,882,079,456.21","3,988,939,048.32","3,378,065,400.63","3,542,296,540.82","3,248,040,050.79","4,162,862,098.10"
短期借款,"719,945,066.77","727,000,000.00","711,035,551.00","690,807,096.38","584,539,343.38","438,269,260.00","489,108,570.51","530,189,038.32","621,313,558.33","1,274,247,804.76","1,650,887,346.86","1,257,394,067.46","1,584,559,773.95","1,977,057,266.41","1,655,997,129.74","2,067,955,492.56","794,818,066.32","1,695,039,781.08"
交易性金融资产,,,,,,,"269,778.78",,,,"3,250,000.00","2,678,000.00","13,216.00","13,216.00",,,"164,678.00","164,678.00"
交易性金融负债,,,,,"35,496.46","33,388.46",,"33,388.46","417,520.00",,"11,985,969.61","11,604,611.36","3,812,000.00","3,783,405.00","182,830.00","182,830.00",,
应收票据,"19,147,818.91","146,488,013.63","385,151,718.27","263,543,228.23","313,932,349.34","371,959,819.54","504,874,782.13","356,141,952.03","579,034,521.95","593,823,666.96","445,515,292.78","520,171,358.91","734,876,656.50","1,435,427,884.43","1,566,253,626.87","1,379,059,375.15","1,578,407,314.25","2,173,784,948.26"
应付票据,"86,774,618.57","355,253,747.11","1,023,280,021.52","1,728,573,706.60","1,890,617,111.34","1,772,944,882.38","2,088,081,242.50","2,133,935,914.59","2,417,314,082.46","2,405,415,171.79","3,127,787,586.33","3,625,475,565.05","3,971,370,210.59","4,027,506,661.54","3,968,067,754.53","4,590,457,330.59","4,958,991,394.07","5,016,417,064.20"
应收账款,"226,370,615.16","155,429,590.40","170,440,356.97","315,085,643.00","377,396,225.40","490,694,459.22","450,960,824.79","463,922,721.17","357,315,167.23","398,396,936.35","638,776,481.23","1,016,837,793.84","1,108,799,115.03","1,408,132,547.43","1,949,639,313.88","2,343,792,151.41","1,601,837,083.99","1,930,998,566.12"
应付账款,"193,271,253.14","367,836,662.73","450,463,578.50","1,067,150,053.43","1,029,845,801.63","1,031,620,978.71","936,601,004.45","1,021,661,585.87","1,211,398,124.68","1,217,031,628.06","1,271,992,887.12","1,333,824,630.87","1,854,057,631.56","2,314,880,029.51","2,903,556,978.55","3,176,845,842.94","2,500,432,169.41","2,873,859,726.45"
预付款项,"10,449,868.36","11,203,373.05","10,379,568.51","19,589,037.90","13,884,449.45","21,234,729.79","22,196,849.95","18,948,581.36","6,492,997.25","15,796,291.58","134,341,878.11","123,980,583.05","86,767,076.37","61,423,027.09","60,732,764.93","90,703,975.33","32,101,385.63","49,826,215.13"
预收款项,"18,558,320.58","9,749,973.13","48,943,365.59","45,535,564.13","32,774,948.88","81,451,819.29","42,537,316.80","52,274,422.23","24,320,559.23","63,719,094.73","46,720,919.71","47,960,887.29","25,123,774.46","29,010,643.01","29,538,220.81","32,524,074.71","15,633,968.67","35,659,132.13"
其他应收款,"11,909,162.12","8,603,293.76","5,266,665.51","23,614,412.84","10,416,995.84","12,514,248.71","8,788,094.61","12,225,592.56","9,791,695.15","10,930,282.70","13,653,036.41","29,669,292.92","14,119,070.30","35,055,479.57","23,098,511.54","26,383,499.10","33,501,953.58","30,404,357.32"
应付职工薪酬,"16,514,385.08","26,132,101.80","58,408,340.20","52,331,581.04","59,145,267.90","53,303,134.21","58,643,048.42","56,806,148.83","61,355,964.22","58,015,048.64","73,378,676.90","83,163,746.11","91,876,784.55","93,375,740.74","101,174,199.67","99,936,559.84","111,218,038.56","113,246,254.14"
应收关联公司款,,,,,,,,,,,,,,,,,,
应交税费,"-14,549,967.83","2,956,321.96","6,326,963.02","51,460,214.61","34,515,368.06","23,817,843.14","44,828,403.69","21,501,614.15","31,771,119.06","19,105,219.12","38,630,622.72","25,153,687.86","52,804,901.46","102,261,584.37","76,412,481.04","100,031,199.88","175,604,581.15","203,861,755.47"
应收利息,,,,,,,,,,,,,,,,,,
应付利息,"2,114,695.30","1,570,044.78","1,217,388.21","1,191,155.22","1,359,028.32","782,503.35","437,915.28","1,345,283.34","722,055.56","1,228,377.91","2,209,094.90","6,204,348.97","1,781,236.21","4,981,832.33","6,685,293.73","7,890,747.70","4,930,849.97","6,587,381.45"
应收股利,,,,,,,,,,,,,,,,,"65,573,819.84","30,148,203.40"
应付股利,,,"42,600,000.00",,,,"88,900,000.00",,,"53,340,000.00",,,,,"89,815,746.06",,,"130,496,995.75"
存货,"232,673,782.23","229,646,477.74","362,881,642.20","749,771,454.56","607,267,937.17","675,256,956.96","627,747,621.34","735,378,261.38","654,279,695.41","711,368,236.03","765,262,466.51","890,970,679.24","857,499,800.13","1,044,316,970.89","1,342,659,664.70","1,627,100,673.52","1,610,206,403.39","1,629,705,995.37"
其他应付款,"9,346,551.43","15,103,251.84","23,637,822.64","32,101,955.17","30,201,720.60","31,982,799.86","41,125,629.29","37,790,623.57","296,945,984.10","56,061,063.88","198,604,679.50","156,269,714.38","123,213,981.20","166,651,595.72","210,143,561.26","236,326,621.73","151,064,637.57","220,447,465.56"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"31,846,006.52","91,534,111.11","1,988,956.04","1,643,479.85",,,,,"150,000,000.00","150,000,000.00","337,797,840.00","537,797,840.00","399,426,125.00","608,023,611.40","464,694,253.78","268,754,053.50","1,083,632,295.53","1,708,675,448.07"
