科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"246,906,471.91","319,695,352.76","290,778,854.97",,"360,313,621.84",,"811,894,728.37","673,601,277.47","629,588,618.29","572,680,728.53","789,360,108.05","795,789,022.67","832,438,744.88","707,165,064.46","1,344,474,386.80","1,227,905,039.85","1,223,762,332.81"
短期借款,"178,000,000.00","230,000,000.00","205,000,000.00",,"225,000,000.00",,"303,000,000.00","303,000,000.00","263,000,000.00","328,000,000.00","578,000,000.00","750,040,073.77","867,040,073.77","825,031,934.26","969,715,480.87","803,531,852.54","863,743,950.75"
交易性金融资产,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,
应收票据,,"50,000.00",,,,,,,"1,827,302.00","673,892.00","26,625,538.65","27,379,016.19","69,769,704.66","26,956,067.12","138,413,499.85","189,505,922.20","140,143,904.34"
应付票据,,"3,170,000.00",,,,,,,,,"18,843,350.30","62,943,350.30","40,000,000.00","30,000,000.00","51,638,421.80","155,079,592.10","148,391,770.30"
应收账款,"102,106,221.56","176,965,826.97","222,156,965.22",,"227,628,368.44",,"216,238,110.07","195,318,017.26","149,747,752.98","177,405,790.84","1,219,985,753.08","1,067,971,785.57","1,496,964,987.26","1,503,132,189.75","1,849,211,670.48","1,731,817,183.86","1,723,966,748.67"
应付账款,"123,365,369.30","184,374,638.65","235,719,731.61",,"228,624,615.47",,"213,798,605.58","178,823,045.54","189,498,407.87","244,188,689.62","776,475,305.42","568,333,566.11","864,486,657.53","932,906,674.29","1,470,594,180.07","1,271,709,168.88","1,645,674,608.76"
预付款项,"834,932.00","924,130.30","938,395.61",,"409,203.38",,"1,215,194.13","971,420.48","19,950,101.86","15,149,626.36","11,301,704.62","17,068,341.41","18,258,460.50","37,702,767.16","17,713,434.36","29,938,094.02","22,004,887.45"
预收款项,,,,,,,,,,,"16,075,121.93","7,878,880.07","4,161,660.26","6,898,824.17","28,420,317.49","20,766,726.80","36,051,568.48"
其他应收款,"3,008,828.16","16,359,206.59","6,537,542.25",,"8,572,879.18",,"17,936,833.35","39,658,321.85","36,158,265.82","81,040,689.40","106,442,673.31","108,352,021.96","126,294,043.46","142,767,764.24","119,673,633.36","134,121,861.90","110,815,788.30"
应付职工薪酬,"4,890,882.19","9,453,638.48","14,544,861.43",,"18,654,619.58",,"24,072,221.72","17,194,783.98","28,183,208.13","27,244,190.07","52,303,156.55","19,158,899.15","15,359,081.15","23,109,183.01","45,233,303.80","33,814,545.51","33,564,350.29"
应收关联公司款,,,,,,,,,,,,,,,,,
应交税费,"11,331,583.73","17,273,826.61","21,869,249.23",,"31,975,371.88",,"33,192,591.38","30,865,098.83","9,950,596.32","5,113,162.98","41,701,678.83","24,688,506.23","42,900,111.57","24,505,060.32","65,666,111.80","49,194,459.91","58,310,529.33"
应收利息,,,,,,,,,,,,,,,"20,138.90","201,389.00","382,639.10"
应付利息,,,,,,,,,,,"7,669,519.00","11,090,922.11","1,392,416.67","5,422,159.25","15,048,913.44","23,417,954.97","21,572,818.86"
应收股利,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,"3,493,669.09","3,493,669.09","3,493,669.09","3,493,669.09","3,493,669.09","3,493,669.09","3,493,669.09"
存货,"23,504,333.98","47,396,373.57","60,013,379.75",,"43,765,753.02",,"55,645,440.84","47,080,462.71","63,574,554.40","73,542,305.85","739,408,192.76","774,274,716.80","875,895,558.13","1,026,765,777.26","1,284,177,792.74","1,177,215,090.77","1,492,714,216.04"
其他应付款,"491,484.46","539,446.11","566,577.08",,"741,258.28",,"805,892.95","1,408,377.69","104,040,528.23","144,214,429.13","289,678,558.42","305,530,077.50","303,513,850.38","246,352,177.57","227,704,765.91","316,250,844.13","254,954,719.02"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,"63,000,000.00","62,000,000.00",,,"5,781,124.32","3,326,141.51","130,497,247.73","134,660,000.00","247,057,835.00","239,275,561.41","163,330,578.48"
其他流动资产,,,,,,,,"2,160,000.00","2,200,975.13","3,067,527.92","9,699,213.64","9,415,374.46","14,519,182.02","18,629,266.38","16,037,631.99","11,099,045.93","12,454,575.69"
其他流动负债,,,,,,,,,,,"82,329,180.83","62,828,907.88","122,378,474.39","138,697,118.33","172,314,301.13","205,083,296.05","222,660,334.45"
流动资产合计,"376,360,787.61","561,390,890.19","580,425,137.80","595,230,000.00","640,689,825.86","590,778,000.00","1,102,930,306.76","958,789,499.77","903,047,570.48","923,560,560.90","2,902,823,184.11","2,800,250,279.06","3,434,140,680.91","3,463,118,896.37","4,769,722,188.48","4,501,803,627.53","4,726,245,092.40"
流动负债合计,"318,079,319.68","444,811,549.85","477,700,419.35","451,536,900.00","504,995,865.21","485,141,700.00","637,869,311.63","593,291,306.04","594,672,740.55","748,760,471.80","1,872,350,664.69","1,819,312,993.72","2,395,223,242.54","2,371,076,800.29","3,296,887,300.40","3,121,617,671.39","3,451,748,897.81"
可供出售金融资产,,,,,,,,,,,,,"10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00"
长期借款,,,"65,000,000.00",,"118,500,000.00",,"74,000,000.00","74,000,000.00","141,000,000.00","132,170,000.00","362,670,000.00","353,840,000.00","301,513,333.33","374,137,283.27","223,794,820.34","207,205,426.11","198,611,443.45"
持有至到期投资,,,,,,,,,,,,,,,,,
