科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"1,394,078,428.84","1,297,197,340.75","1,290,592,026.71","568,281,843.30","851,582,226.20","1,281,076,541.80","263,282,378.51","487,282,461.57","707,637,828.44","1,118,868,824.29","246,614,062.34","415,295,116.43","669,762,188.92","1,053,679,998.19","252,372,353.48","535,729,541.60","804,930,296.73","1,206,985,997.95","282,049,778.42","578,176,372.30"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"9,882,731.42","21,014,579.35","17,396,274.54","7,362,483.39","11,235,552.67","15,224,818.26","1,634,364.39","6,853,984.80","10,311,330.09","17,190,126.92","91,093.76","4,433,708.50","7,834,521.27","13,442,198.21","1,980.93","9,394,364.47","13,038,909.03","17,395,896.09","2,448,494.12","8,938,962.58"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"20,755,284.00","29,706,063.53","31,960,544.37","17,111,438.32","28,343,196.25","39,342,030.97","7,719,233.32","27,272,305.54","37,108,889.13","59,181,795.75","6,715,243.24","28,245,839.53","32,105,718.42","46,300,777.54","5,425,801.61","16,708,098.73","29,125,944.59","51,359,230.40","15,917,390.62","22,943,692.63"
投资活动现金流出小计,"41,881,625.83","21,253,982.95","134,038,758.15","78,109,422.62","109,250,900.23","134,978,719.01","30,693,146.39","334,785,996.73","574,793,147.88","588,837,356.51","28,465,690.38","376,151,970.18","827,024,224.20","1,112,473,665.30","14,893,869.29","18,379,818.82","20,688,490.65","510,559,389.63","613,433,938.56","903,655,301.98"
经营活动现金流入小计,"1,424,716,444.26","1,347,917,983.63","1,339,948,845.62","592,755,765.01","891,160,975.12","1,335,643,391.03","272,635,976.22","521,408,751.91","755,058,047.66","1,195,240,746.96","253,420,399.34","447,974,664.46","709,702,428.61","1,113,422,973.94","257,800,136.02","561,832,004.80","847,095,150.35","1,275,741,124.44","300,415,663.16","610,059,027.51"
投资活动产生的现金流量净额,"-41,712,048.04","-20,944,693.35","-133,879,619.20","-78,026,207.62","-109,095,760.23","-134,699,234.86","-30,693,146.39","-284,518,117.24","-282,430,060.88","-64,774,761.37","-28,465,690.38","-44,376,529.28","-33,068,957.19","-468,437,017.88","412,545,917.16","409,060,903.26","406,751,295.80","-83,108,723.18","-133,418,454.06","-135,994,911.54"
购买商品、接受劳务支付的现金,"396,914,999.23","349,570,202.29","329,142,654.72","156,572,734.34","233,586,166.61","331,392,144.12","88,150,191.33","144,752,497.69","190,517,048.81","302,808,066.41","77,467,459.27","104,164,034.36","169,290,466.96","259,773,036.53","77,632,353.57","173,228,605.02","253,153,068.28","349,282,148.56","96,801,144.44","206,515,470.65"
吸收投资收到的现金,,,,,,"406,928,000.00",,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"439,617,539.56","420,255,048.84","398,870,750.05","225,868,835.18","328,817,795.25","420,674,847.98","118,114,692.22","241,677,048.97","338,163,758.59","434,953,694.25","126,766,174.07","203,951,281.71","305,896,185.48","391,028,019.73","117,387,753.69","202,853,895.16","314,571,374.25","406,431,939.92","141,297,889.06","239,814,570.96"
取得借款收到的现金,,,,,,,,,,,,,,,,,,,,
支付的各项税费,"192,662,670.58","181,796,968.91","167,525,492.05","90,243,164.72","128,868,818.03","173,371,281.87","58,103,833.24","77,641,679.57","110,603,395.89","147,207,267.88","43,594,030.74","71,793,865.26","103,293,482.73","148,507,237.36","36,941,337.37","65,788,277.90","100,128,478.11","151,479,528.00","62,168,359.10","97,521,353.51"
