科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"189,052,197.81","319,784,392.94","342,893,531.85","354,622,661.56","1,918,051,877.81","2,025,760,673.20","2,093,044,818.83","1,904,393,079.76","1,831,424,109.90","2,077,104,013.38","2,149,655,874.90","1,823,283,343.07","1,575,605,526.70","1,425,356,180.74","1,763,440,259.93","1,526,087,571.70","1,091,931,226.02","1,100,788,691.42","1,560,084,719.67","772,588,110.06","1,445,246,089.89","1,786,733,660.91","2,614,400,206.31","1,151,377,472.62","1,136,717,464.96","1,226,518,166.97","2,120,112,063.21","1,050,201,943.13","1,204,288,156.12","1,316,153,145.92","2,002,285,869.37","1,853,574,665.28","2,271,641,902.15","1,431,906,935.52"
短期借款,"366,500,000.00","420,850,000.01","365,610,000.00","430,650,000.00","33,650,000.00","38,650,000.00","27,000,000.00","25,000,000.00","25,000,000.00","15,000,000.00","14,250,000.00","20,250,000.00","120,250,000.00","53,023,774.00","18,203,398.96","224,028,969.44","463,841,028.39","605,583,605.25","748,683,605.25","872,859,194.99","1,242,491,978.82","1,329,683,944.05","878,990,000.00","791,100,000.00","915,934,848.29","798,484,081.14","541,043,000.00","490,043,000.00","739,407,789.70","707,913,417.48","650,728,451.09","1,209,997,135.87","1,715,263,448.12","1,596,832,366.41"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,100.50"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,"49,500.00","185,100.00",,,,,,,,,,"713,990.00","87,950.00",
应收票据,"805,620.00","264,390.00","486,000.00",,"300,000.00","2,020,050.00","3,143,818.00","8,719,835.74","12,948,787.15","18,732,727.65","15,989,095.40","6,230,883.80","1,650,000.00","4,954,857.84","10,565,411.20","6,590,960.00","6,910,960.00","19,498,365.00","36,668,090.44","31,777,390.94","33,180,443.67","52,822,339.19","61,089,258.82","46,885,820.60","33,220,024.61","35,721,841.63","51,596,120.84","51,278,653.30","45,901,240.79","37,174,526.56","53,566,531.54","65,667,501.50","55,503,808.48","33,661,466.58"
应付票据,,"10,700,000.00","3,220,000.00","8,145,000.00","11,747,971.12","147,971.12","5,789,728.00","7,750,415.50","2,767,101.50","5,211,414.00","5,951,042.30","6,331,042.30","4,485,000.00",,"4,058,345.09","4,058,345.09",,,"1,000,000.00","2,000,000.00","3,442,105.00","3,442,105.00","1,244,000.00","2,374,000.00","3,090,000.00","35,190,000.00","39,200,000.00","9,200,000.00","4,819,000.00","4,819,000.00","28,905,000.00","35,055,000.00","11,682,297.00","10,412,500.00"
应收账款,"32,369,417.21","30,815,431.34","44,445,667.44","81,708,836.32","103,440,419.66","107,892,496.28","56,198,641.24","81,239,075.31","96,293,463.97","121,651,032.14","84,935,914.67","134,910,428.27","229,551,287.57","364,730,820.67","144,847,045.22","419,291,354.95","615,691,091.35","938,293,261.72","351,999,880.47","877,855,607.99","889,043,438.19","1,100,167,527.90","614,504,814.26","1,037,469,899.94","1,180,868,147.76","1,485,875,175.56","845,536,158.07","1,158,882,261.06","1,428,997,608.65","1,722,623,243.21","1,091,100,455.94","1,470,459,611.25","1,652,384,711.13","1,992,665,574.16"
应付账款,"194,910,476.22","161,600,008.63","235,190,117.01","246,551,524.64","203,657,705.77","225,946,258.12","263,274,242.32","248,881,528.45","316,368,173.88","333,592,927.56","380,148,388.25","397,079,527.02","345,123,956.83","511,465,536.15","556,488,636.91","579,614,008.31","676,516,665.54","790,868,762.12","814,596,146.80","746,029,937.07","918,509,007.26","878,024,339.95","772,952,864.77","727,034,894.81","803,542,240.27","1,008,841,607.12","860,274,280.78","779,222,115.97","1,088,739,032.04","900,133,662.26","900,985,769.06","845,482,765.19","927,618,244.94","1,100,438,653.24"
预付款项,"60,078,905.96","74,112,483.54","94,138,808.01","114,319,084.07","134,509,316.00","132,590,342.88","86,157,236.94","147,175,387.41","160,376,192.51","172,880,204.81","116,926,283.25","314,107,834.75","385,869,576.52","269,049,643.66","181,793,224.33","171,313,997.05","329,144,077.90","281,309,553.86","288,583,093.22","261,300,864.96","365,559,735.57","286,467,772.51","268,187,950.86","391,837,081.78","376,372,480.98","201,859,061.68","128,675,684.03","226,573,271.67","209,447,587.16","249,050,870.57","231,127,695.92","279,162,261.32","304,362,189.82","268,650,456.95"
预收款项,"124,176,404.63","155,550,608.12","207,907,967.94","145,758,073.54","154,489,677.52","204,972,653.75","290,751,065.72","193,857,023.85","183,994,242.24","330,243,374.06","354,901,384.25","244,372,362.41","271,778,625.75","349,802,937.12","353,309,058.38","354,130,429.67","371,960,792.43","554,286,195.01","526,007,424.61","390,796,331.75","422,857,230.77","503,307,346.53","557,122,320.38","413,808,315.30","424,677,325.31","598,123,849.80","661,338,766.27","543,043,156.11","623,204,560.05","707,758,923.35","711,149,010.43","577,192,004.33","591,666,791.85","732,216,490.49"
