科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"566,183,655.54","602,480,554.29","679,430,256.89","94,607,387.34","206,898,380.57","314,413,274.74","453,516,737.12","105,126,875.74","238,657,639.33","336,943,271.89","552,269,867.76","162,717,439.97","330,498,079.94","516,738,471.92","772,426,796.56","149,464,858.32"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,
收到的税费返还,"1,405,348.43","2,017,989.76","4,855,179.02","2,332,322.39","3,246,078.05","5,730,813.28","6,870,942.75","2,964,768.93","3,927,782.76","4,953,842.26","4,909,595.04",,,"1,241,793.89","1,241,793.87","2,705,006.87"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"3,306,754.40","900,438.56","879,427.10","244,979.00","1,257,678.42","570,000.00","1,417,502.22","214,789.59","571,445.18","814,183.24","1,946,595.34","122,606.70","541,026.96","665,670.21","3,490,211.98","284,763.55"
投资活动现金流出小计,"20,667,967.57","35,640,638.41","68,818,811.78","4,044,516.90","256,546,221.43","406,933,411.95","180,456,452.15","18,950,465.28","146,776,029.10","249,730,735.99","158,485,109.03","77,897,800.19","159,963,970.92","260,872,089.38","120,459,037.56","22,541,081.13"
经营活动现金流入小计,"570,895,758.37","605,398,982.61","685,164,863.01","97,184,688.73","211,402,137.04","321,497,599.61","461,805,182.09","108,306,434.26","243,156,867.27","342,711,297.39","559,126,058.14","162,840,046.67","331,039,106.90","518,645,936.02","777,158,802.41","152,454,628.74"
投资活动产生的现金流量净额,"-20,667,967.57","-35,026,158.41","-68,290,035.92","-4,044,516.90","-222,344,098.51","-175,311,902.16","-172,993,361.78","103,798,163.90","-16,128,850.88","-18,271,904.95","-17,993,252.24","22,862,788.03","-8,454,290.40","-58,742,028.86","-17,806,902.47","-22,375,560.13"
购买商品、接受劳务支付的现金,"368,096,598.34","372,565,270.82","422,864,443.22","76,574,406.24","148,251,234.15","190,946,574.42","291,431,195.50","64,141,606.31","143,187,354.35","164,678,090.96","306,986,717.65","72,530,325.72","159,913,134.80","231,095,175.46","403,673,983.08","137,437,716.69"
吸收投资收到的现金,,,,"404,193,000.00","417,488,000.00","417,488,000.00","404,193,000.00",,,,,,,,,
