科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"275,175,977.89","309,042,803.27","190,780,590.34","138,427,046.47","160,072,166.91","156,304,441.43","108,387,354.71","96,091,742.38","73,360,379.88","83,358,363.11","83,549,522.80","256,926,019.35","182,109,971.75","171,015,012.50","127,219,957.03","374,481,256.50","145,432,413.95","104,010,375.28","94,891,481.24","76,506,717.32","74,985,714.71","98,044,218.32","70,160,400.86","219,541,115.69","130,703,056.16","77,546,964.34","64,698,388.66","104,025,286.82","62,586,694.81","80,945,681.14","68,386,461.87","92,843,547.67","71,819,100.42","158,886,817.11","102,165,734.55","124,248,724.31","138,173,939.30","72,606,791.85","100,825,103.55","383,377,053.23","74,099,235.55","326,956,627.32","86,560,431.48","474,448,395.12"
短期借款,"97,280,000.00","105,680,000.00","145,680,000.00","155,680,000.00","205,680,000.00","255,680,000.00","255,680,000.00","255,680,000.00","215,680,000.00","131,680,000.00","60,000,000.00","30,000,000.00",,,,,,,,,,"90,000,000.00","92,000,000.00","153,680,000.00","123,680,000.00","63,680,000.00","111,680,000.00","112,000,000.00","112,000,000.00","112,000,000.00","112,000,000.00","120,000,000.00","120,000,000.00","130,000,000.00","150,000,000.00","150,000,000.00","298,000,000.00","382,000,000.00","342,000,000.00","207,000,000.00","457,000,000.00","429,780,000.00","343,780,000.00","373,780,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"24,058,496.97","25,091,029.56","33,112,134.26","62,369,253.12","41,562,119.38","38,188,119.76","43,773,467.92","72,453,818.78","42,458,267.10","28,905,838.03","25,308,437.25","45,007,677.16","46,797,871.89","35,096,799.42","48,801,897.86","73,445,068.37","53,676,093.24","86,329,176.48","89,380,538.34","125,981,566.15","159,631,808.38","161,983,314.21","186,738,373.12","193,106,466.72","186,560,186.82","92,968,199.96","118,546,007.23","156,769,672.99","115,009,025.31","97,223,747.60","105,539,617.85","158,705,851.20","101,624,407.18","93,883,730.91","87,451,357.87","118,832,670.29","83,423,118.52","94,600,696.18","87,651,572.39","122,378,960.19","97,453,458.63","83,856,676.36","95,193,280.99","123,484,092.94"
应付票据,"58,000,000.00","59,743,606.39","22,243,606.39","12,500,000.00","1,500,000.00","1,500,000.00","13,795,949.84","13,795,949.84","31,800,000.00","37,000,000.00","10,000,000.00",,"19,500,000.00","20,000,000.00",,,"17,631,770.41","37,631,770.41","23,000,000.00","35,750,000.00","74,471,718.00","115,263,848.00","122,655,840.00","45,775,710.00","18,383,500.00","37,783,500.00","53,083,500.00","41,600,000.00","36,950,000.00","36,780,000.00","32,980,000.00","29,250,000.00","27,450,000.00","36,697,230.00","23,145,000.00","4,350,000.00","6,850,000.00","18,850,000.00","14,250,000.00","11,196,000.00","29,130,590.00","38,419,826.20","38,484,323.20","19,529,721.00"
应收账款,"87,986,035.15","88,832,803.81","98,002,503.40","51,192,455.99","80,915,322.41","88,057,687.43","97,503,868.09","50,962,186.18","63,070,138.78","87,231,193.94","84,723,836.35","50,429,635.77","65,465,364.30","88,272,226.52","92,521,928.37","49,624,646.87","71,986,377.61","84,703,432.09","86,425,198.58","48,028,658.92","77,041,679.30","99,208,591.77","119,150,381.00","48,764,676.59","65,528,893.35","165,186,214.20","167,564,184.54","79,971,320.68","121,560,477.46","171,413,660.70","183,848,077.91","70,771,936.89","154,051,479.79","189,636,887.10","199,796,522.21","101,794,107.34","131,402,952.96","146,117,856.97","230,947,699.35","125,142,844.05","242,450,674.81","163,668,978.13","183,207,676.55","99,964,766.84"
应付账款,"42,747,637.38","48,816,202.42","46,123,952.23","33,415,520.58","32,991,277.36","36,408,275.35","61,590,064.19","135,886,149.34","137,886,432.08","135,345,154.53","128,437,703.82","145,774,405.84","101,204,678.23","96,325,662.74","95,083,316.94","112,007,443.62","72,343,305.57","59,458,180.04","47,778,832.57","75,150,664.34","63,480,984.11","69,641,660.78","75,316,100.88","47,602,045.67","46,396,452.70","43,633,508.35","51,190,725.51","57,602,960.47","26,609,487.70","20,482,034.18","28,613,556.16","57,346,414.44","38,130,573.35","50,410,622.27","43,398,660.50","42,901,011.15","36,268,125.39","31,651,833.11","40,502,117.45","57,200,525.25","38,940,767.93","34,809,723.96","37,115,728.18","54,417,652.51"
预付款项,"51,475,859.00","51,232,387.46","51,646,164.62","31,047,039.59","36,925,975.41","18,864,132.03","25,827,015.71","18,907,206.48","12,355,582.61","4,242,038.37","4,711,195.41","17,416,415.20","9,577,657.23","8,542,917.45","3,426,554.82","19,259,368.61","44,174,935.44","13,968,081.44","8,907,132.46","26,806,065.22","46,059,963.47","41,844,894.79","33,943,018.37","6,279,345.47","4,111,900.44","7,872,455.79","15,597,326.81","4,994,775.25","3,465,788.17","3,615,944.87","1,814,564.14","16,525,585.67","14,677,326.04","21,968,457.40","30,552,245.58","28,373,158.12","193,790,719.18","344,956,092.13","243,099,457.69","13,935,483.58","424,896,011.53","249,343,698.12","362,351,726.84","36,653,861.21"
预收款项,"707,783.10","707,783.10","707,783.10","3,353,990.87","778,062.98","778,062.98","778,062.98","7,075,755.56","2,458,912.78",,,"3,738,404.61",,,,"5,474,688.36","4,473,463.33","292,657.88","59,713.60","13,281,935.99","1,559,956.49","479,956.49",,"21,872,066.11","3,541,980.27","3,865,974.29","3,796,496.05","9,125,506.28","2,274,289.45","2,553,854.51","2,023,111.62","11,670,708.73","2,978,102.51","6,532,247.50","1,696,092.97","20,443,961.57","35,715,586.00","22,295,845.26","57,959,682.88","5,243,993.35","2,480,114.43","34,927,247.59","2,579,393.89","8,685,742.18"
