科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"360,036,732.85","422,554,327.78","522,034,953.12","126,812,776.25","280,268,080.24","410,244,059.04","614,440,157.97","131,149,380.17","293,438,192.24","464,190,383.03","705,239,788.93","133,893,542.62","312,230,591.58","554,641,516.11","910,598,988.31","213,260,961.30","476,936,566.22","801,299,927.12","1,184,434,190.76","354,332,715.68","780,534,272.50","1,290,506,532.78","1,820,949,946.65","478,515,459.95","1,043,949,319.70","1,677,081,038.10","2,582,463,261.82"
二、营业利润,"37,064,560.33","53,601,866.71","73,437,754.58","23,123,802.45","34,955,761.57","54,502,674.11","74,594,282.18","17,098,149.00","24,931,307.25","30,846,077.86","42,078,947.24","17,797,771.23","29,616,242.72","38,318,538.93","53,666,772.12","19,598,918.28","36,858,942.65","56,091,060.96","64,668,406.36","46,361,284.80","95,756,606.31","166,695,851.99","192,184,316.55","54,545,064.01","118,397,729.17","182,788,482.24","259,156,814.34"
减:营业成本,"234,725,637.68","263,244,166.57","325,341,369.67","79,302,227.98","181,897,314.02","265,199,324.60","404,812,880.44","87,134,502.43","212,909,348.38","341,592,540.85","526,307,848.79","95,153,999.45","226,336,798.43","415,851,673.50","694,214,771.86","161,076,623.28","363,204,267.22","620,051,315.48","927,918,752.84","254,678,276.65","581,244,312.19","964,133,989.18","1,409,812,960.47","360,456,197.29","789,325,803.28","1,284,131,521.03","2,007,374,666.94"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"16,709,407.68","21,284,932.30","23,505,113.88","5,918,335.49","12,866,514.34","18,295,645.16","21,647,945.76","1,396,237.45","4,360,521.24","6,918,996.99","11,274,353.01","1,558,914.25","4,202,536.95","8,246,270.90","14,753,897.33","2,172,160.91","5,470,611.52","9,940,323.25","15,000,766.35","2,759,285.75","6,901,227.56","8,574,453.80","14,645,432.38","1,467,105.00","4,154,802.28","7,511,478.11","17,214,050.50"
营业外收入,"973,134.72","2,163,255.03","3,307,137.00","4,878,781.10","5,230,324.59","5,374,656.44","9,118,587.15","93,781.52","1,095,187.98","1,990,129.59","2,830,064.25","3,323.20","747,981.84","1,359,365.85","1,697,246.81","285,761.18","431,936.60","1,880,844.82","3,084,642.23","2,817,881.93","5,517,055.96","6,193,522.14","8,546,873.68","1,527,096.77","1,689,061.36","2,377,529.95","2,547,113.42"
销售费用,"7,577,302.39","9,521,868.15","12,232,524.39","2,582,946.98","7,067,088.04","13,328,917.12","16,530,168.69","3,516,681.89","8,542,644.70","15,903,450.22","19,534,350.09","3,847,732.11","8,672,867.33","16,664,325.47","24,565,656.42","5,625,744.73","11,458,800.37","20,932,447.83","25,178,239.33","7,235,410.15","17,213,706.30","23,221,699.93","31,227,651.02","9,176,154.66","21,399,015.33","34,156,697.08","54,051,788.38"
减:营业外支出,"122,532.06","415,579.38","1,609,902.85","85,031.48","97,594.98","131,662.33","161,578.44","42,627.39","193,988.74","215,246.12","769,700.05","114,855.52","202,998.25","227,826.51","484,376.09","40,681.79","258,383.99","372,959.13","463,911.21","17,547.03","278,042.48","372,168.81","468,549.30","91,848.82","874,897.54","1,090,211.05","1,157,677.33"
管理费用,"63,463,695.52","70,320,413.12","83,731,246.45","14,701,665.38","38,086,033.52","56,529,933.78","92,618,784.24","21,653,695.29","44,119,028.22","70,029,889.03","105,185,469.93","20,381,787.73","44,851,021.36","74,311,874.80","122,285,511.43","26,043,503.00","57,232,613.34","87,765,068.91","139,996,728.29","38,855,646.27","75,474,510.89","118,477,270.83","170,406,680.57","49,062,845.81","107,985,383.55","163,417,980.40","233,428,312.03"
其中:非流动资产处置净损失,"72,391.85","258,089.71","172,320.72",,"97,594.98","115,874.33","161,528.44","41,717.36","184,078.71","205,288.13","410,971.06","113,904.76","201,389.82","225,690.80","465,633.46","38,150.66","255,039.81","369,487.39","459,560.01","17,547.03","278,042.48","371,799.82","455,797.02","84,860.53","115,668.29","304,093.98",
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,
