科目,2013年度,2014年度,2015年度,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"311,689,668.71","232,079,131.35","210,340,152.29","180,299,117.49","292,652,124.80","56,904,821.95","117,389,488.68","209,461,546.26","282,474,533.98","74,382,807.75","130,151,129.70"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,"60,000,000.00","190,000,000.00","340,000,000.00","410,000,000.00","60,000,000.00","110,000,000.00"
收到其他与经营活动有关的现金,"1,386,292.75","61,151.68","2,396,234.82","1,176,117.88","1,122,925.30","349,319.17","4,330,302.17","7,218,788.30","5,497,365.32","1,370,485.74","1,401,072.80"
投资活动现金流出小计,"10,053,905.77","3,346,579.06","4,225,982.67","56,841,169.12","61,355,143.03","72,103,676.00","210,569,847.10","386,961,614.74","492,563,432.58","69,965,721.53","123,249,705.73"
经营活动现金流入小计,"313,075,961.46","232,140,283.03","212,736,387.11","181,475,235.37","293,775,050.10","57,254,141.12","121,719,790.85","216,680,334.56","287,971,899.30","75,753,293.49","131,552,202.50"
投资活动产生的现金流量净额,"-8,973,905.77","-3,346,579.06","-4,125,982.67","-55,468,369.12","-59,687,158.03","-72,034,676.00","-108,125,573.14","-133,465,449.03","-77,379,780.54","-9,569,036.60","-9,927,267.39"
购买商品、接受劳务支付的现金,"139,172,628.95","97,044,988.98","85,132,729.03","78,215,571.98","112,080,576.45","48,856,780.76","72,688,159.42","128,411,974.55","174,153,566.37","34,119,782.97","66,717,797.16"
吸收投资收到的现金,,,,,"141,800,000.00",,,,,,
支付给职工以及为职工支付的现金,"25,782,967.07","26,227,836.69","24,545,578.53","17,870,496.68","24,012,891.01","6,922,894.72","12,923,457.34","18,939,044.22","26,768,790.24","8,959,231.44","15,427,420.36"
取得借款收到的现金,,,,"10,000,000.00","20,000,000.00",,,,,,
支付的各项税费,"31,982,680.78","42,377,898.36","35,745,669.71","24,831,225.43","34,341,521.10","15,741,617.55","23,590,790.53","31,016,436.96","41,109,474.85","7,319,686.31","13,298,216.37"
收到其他与筹资活动有关的现金,"3,777,720.00",,,,,,,,,,"49,396.30"
支付其他与经营活动有关的现金,"17,737,674.21","25,000,286.41","14,464,992.00","9,442,554.08","13,052,004.07","5,217,839.99","8,105,691.93","12,622,403.66","17,337,535.95","4,331,030.81","6,679,569.14"
筹资活动现金流入小计,"3,777,720.00",,,"10,000,000.00","161,800,000.00",,,,,,"49,396.30"
经营活动现金流出小计,"214,675,951.01","190,651,010.44","159,888,969.27","130,359,848.17","183,486,992.63","76,739,133.02","117,308,099.22","190,989,859.39","259,369,367.41","54,729,731.53","102,123,003.03"
偿还债务支付的现金,"91,000,000.00",,,,,"20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00",,
经营活动产生的现金流量净额,"98,400,010.45","41,489,272.59","52,847,417.84","51,115,387.20","110,288,057.47","-19,484,991.90","4,411,691.63","25,690,475.17","28,602,531.89","21,023,561.96","29,429,199.47"
分配股利、利润或偿还利息支付的现金,"2,322,676.53","42,000,000.00","36,000,000.00","30,089,537.50","30,298,458.33","153,941.66","15,483,043.52","16,153,941.66","16,153,941.66",,"39,999,737.50"
收回投资收到的现金,,,,,,,,,,,
支付其他与筹资活动有关的现金,,"3,000,000.00","300,000.00","300,000.00","8,266,971.68","9,520,000.00","9,520,000.00","9,520,000.00","9,520,000.00",,
取得投资收益收到的现金,,,,,,,,,,,
筹资活动现金流出小计,"93,322,676.53","45,000,000.00","36,300,000.00","30,389,537.50","38,565,430.01","29,673,941.66","45,003,043.52","45,673,941.66","45,673,941.66",,"39,999,737.50"
处置固定资产、无形资产和其他长期资产收回的现金净额,"880,000.00",,"100,000.00","11,000.00","11,000.00","69,000.00","1,869,000.00","2,269,000.00","2,269,000.00",,
筹资活动产生的现金流量净额,"-89,544,956.53","-45,000,000.00","-36,300,000.00","-20,389,537.50","123,234,569.99","-29,673,941.66","-45,003,043.52","-45,673,941.66","-45,673,941.66",,"-39,950,341.20"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,
四、汇率变动对现金的影响,-789.21,-176.40,882.84,-211.20,-371.92,,"-42,220.86","-52,302.61","-20,272.51",-0.02,"63,735.02"
收到其他与投资活动有关的现金,"200,000.00",,,"1,361,800.00","1,656,985.00",,"100,575,273.96","251,227,165.71","412,914,652.04","60,396,684.93","113,322,438.34"
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,"1,080,000.00",,"100,000.00","1,372,800.00","1,667,985.00","69,000.00","102,444,273.96","253,496,165.71","415,183,652.04","60,396,684.93","113,322,438.34"
五、现金及现金等价物净增加额,"-119,641.06","-6,857,482.87","12,422,318.01","-24,742,730.62","173,835,097.51","-121,193,609.56","-148,759,145.89","-153,501,218.13","-94,471,462.82","11,454,525.34","-20,384,674.10"
购建固定资产、无形资产和其他长期资产支付的现金,"10,053,905.77","3,346,579.06","4,225,982.67","56,841,169.12","61,355,143.03","12,103,676.00","20,569,847.10","46,961,614.74","82,563,432.58","9,965,721.53","13,249,705.73"
期初现金及现金等价物余额,"26,071,955.72","25,952,314.66","19,094,831.79","31,517,149.80","31,517,149.80","205,352,247.31","205,352,247.31","205,352,247.31","205,352,247.31","110,880,784.49","110,880,784.49"
投资支付的现金,,,,,,,,,,,
期末现金及现金等价物余额,"25,952,314.66","19,094,831.79","31,517,149.80","6,774,419.18","205,352,247.31","84,158,637.75","56,593,101.42","51,851,029.18","110,880,784.49","122,335,309.83","90,496,110.39"
